id,name,count
8465,corrugatedMetalShapes:cubeHalf,18
8540,corrugatedMetalShapes:plateCornerHalf,4
8554,corrugatedMetalShapes:plateHalf,22
9453,corrugatedMetalShapes:doorTrim0.5m,4
9778,corrugatedMetalShapes:signLetter_a,2
9780,corrugatedMetalShapes:signLetter_c,1
9782,corrugatedMetalShapes:signLetter_e,1
9786,corrugatedMetalShapes:signLetter_i,1
9787,corrugatedMetalShapes:signLetter_j,1
9790,corrugatedMetalShapes:signLetter_m,2
9796,corrugatedMetalShapes:signLetter_s,2
9797,corrugatedMetalShapes:signLetter_t,1
9798,corrugatedMetalShapes:signLetter_u,1
9807,corrugatedMetalShapes:signLetter_apostrophe,1
