id,name,count
8465,corrugatedMetalShapes:cubeHalf,18
8540,corrugatedMetalShapes:plateCornerHalf,4
8554,corrugatedMetalShapes:plateHalf,22
9453,corrugatedMetalShapes:doorTrim0.5m,4
9778,corrugatedMetalShapes:signLetter_a,1
9782,corrugatedMetalShapes:signLetter_e,2
9786,corrugatedMetalShapes:signLetter_i,1
9789,corrugatedMetalShapes:signLetter_l,1
9791,corrugatedMetalShapes:signLetter_n,2
9792,corrugatedMetalShapes:signLetter_o,1
9796,corrugatedMetalShapes:signLetter_s,2
9797,corrugatedMetalShapes:signLetter_t,1
9798,corrugatedMetalShapes:signLetter_u,1
9801,corrugatedMetalShapes:signLetter_x,1
