id,name,count
274,woodShapes:cubeHalf,12
401,woodShapes:plateCornerHalfTopHalf,4
1192,woodShapes:stairsFilledQuarterVerticalUV,2
1344,woodShapes:cubeBaseboard,2
1414,woodShapes:halfTrimSplitOffset,1
1415,woodShapes:halfTrimSplit2,10
1419,woodShapes:cubeTrimHalfEdge,2
1727,woodShapes:doorTrim0.5m,6
1729,woodShapes:doorTrim1m,11
1737,woodShapes:doorTrimTwoSided,2
13819,corrugatedMetalShapes:cube,4
13879,corrugatedMetalShapes:poleHalf,2
13905,corrugatedMetalShapes:cubePoleCorner,2
13927,corrugatedMetalShapes:polePlate,4
14969,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,2
14970,corrugatedMetalShapes:cubeTrimHalfSplit,6
14975,corrugatedMetalShapes:halfTrimSplit2,4
15285,corrugatedMetalShapes:doorTrimCorner,2
15287,corrugatedMetalShapes:doorTrim0.5m,2
15289,corrugatedMetalShapes:doorTrim1m,12
15290,corrugatedMetalShapes:doorTrim1mOffCenter,4
15297,corrugatedMetalShapes:doorTrimTwoSided,2
15741,corrugatedMetalShapes:iBeamSmall,12
18701,cntCupboardCabinetRedTopLootHelper,2
18705,cntCupboardCabinetFullRedTopClosed,1
18723,cntCounterHollowCabinetTaupeRandomLootHelper,1
18725,sinkKitchen,1
18812,garbage_decor2,1
18820,newspaperDecor01,1
18821,newspaperDecor02,1
18824,rubbishDecor01,1
18825,rubbishDecor02,1
18831,rubbishDecor09,1
18833,rubbishDecor11,1
18835,rubbishDecor13,1
18893,cntBruteStyleTrashCanEmpty,1
18998,airConditionVentFanDouble,1
19178,cntRetroFridgeVer1Closed,1
19271,cntCoffeeMakerCommercial,1
19372,recessedLight,2
20944,commercialDoorV4Brown,1
21867,decoTableRound,2
21910,oldChair1Green,6
22798,cntCashRegisterRandomLootHelper,1
22927,cntTrashBinCommercialGreen,1
23777,signCanvasWood2x1,1
23820,signDecalWood2x1,1
