id,name,count
259,woodShapes:cube,2
274,woodShapes:cubeHalf,8
277,woodShapes:cubeCornerBeveled,2
677,woodShapes:rampSplitLeft03,4
678,woodShapes:rampSplitRight03,4
685,woodShapes:wedge60,3
686,woodShapes:wedge60Tip,9
687,woodShapes:wedge60TipHalf,3
702,woodShapes:wedge60SplitInclineLeft,3
703,woodShapes:wedge60SplitInclineRight,3
704,woodShapes:wedge60SplitInclineRampLeft,1
705,woodShapes:wedge60SplitInclineRampRight,1
756,woodShapes:wedge60SplitLeft05,2
757,woodShapes:wedge60SplitRight05,2
904,woodShapes:halfRampStairs50,2
907,woodShapes:rampInclineFiller,11
1536,woodShapes:windowTrim,4
1537,woodShapes:windowTrimBottom,1
1636,woodShapes:window01,2
