id,name,count
2,terrainFiller,1113
5,terrDirt,1643
16,terrAsphalt,106
5527,concreteShapes:cube,85
6579,concreteShapes:cubeTrimQuarterCornerInsideTriangle,9
6624,concreteShapes:cubeTrimHalfSplitDiagonal,8
6640,concreteShapes:cubeTrimQuarterEdgeTwoSided,48
6654,concreteShapes:cubeTrimCornerRound,2
6675,concreteShapes:cubeTrimQuarterRamp,8
6956,concreteShapes:concreteDestroyed05,2
6957,concreteShapes:concreteDestroyed06,6
6958,concreteShapes:concreteDestroyed07,6
7131,concreteShapes:farmPlot,4
7145,concreteShapes:roadPaintDash,9
7146,concreteShapes:roadPaintDashCNTR,2
10838,corrugatedMetalShapes:pole,12
10861,corrugatedMetalShapes:cubePoleCorner,8
11014,corrugatedMetalShapes:pipeStraight,10
11015,corrugatedMetalShapes:pipeStraightOpenEnded,5
11032,corrugatedMetalShapes:3mTubeCenter,21
11033,corrugatedMetalShapes:3mTubeCorner,14
11632,corrugatedMetalShapes:catwalkV2,4
14774,wroughtIronFenceSheet,4
14882,treeDeadTree01,1
14894,treePlainsTree2,1
14940,treeBrownGrassDiagonal,2
15419,signRoadWork,3
15420,signRoadRoughSurface,2
15423,signRoadSpeed25,1
15435,signHandicapParking,1
15436,signNoParking,2
15527,signMegaCrushAd,1
15898,cntFancyGarbageCan,1
17093,cntNewspaperDispenserStandBlue,1
17094,cntNewspaperDispenserStandYellow,1
17130,cntBagsRandomLootHelper,1
17528,excavatorYellow,1
17585,sleeperSit,1
17586,sleeperBack,2
17588,sleeperSideRight,2
17589,sleeperStomach,1
17590,sleeperIdle,1
17645,roadBarricadeLight,2
17701,streetLightClassic,3
18199,glassBusinessSheet,4
