id,name,count
2,terrainFiller,482
16,terrGravel,11
17,terrAsphalt,495
8328,concreteShapes:roadPaintDash,85
12616,corrugatedMetalShapes:cubeHalf,54
12717,corrugatedMetalShapes:plate,22
12759,corrugatedMetalShapes:platePoleCentered,8
12824,corrugatedMetalShapes:pillar50Plate,2
12829,corrugatedMetalShapes:pillar0.025,6
12831,corrugatedMetalShapes:pillar0.025Centered,2
12841,corrugatedMetalShapes:pillar0.05CenteredHalf,1
13491,corrugatedMetalShapes:stairsRailingMetal,4
13581,corrugatedMetalShapes:catwalkV2RailOnly,58
13582,corrugatedMetalShapes:catwalkV2RailOnlyDblCap,4
13595,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,4
13596,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,4
13970,corrugatedMetalShapes:doorTrim1m,56
13977,corrugatedMetalShapes:doorTrimTop,4
14219,corrugatedMetalShapes:windowPanel,7
14336,corrugatedMetalShapes:floorJoist2,9
14357,corrugatedMetalShapes:bracketDouble,2
14358,corrugatedMetalShapes:plateBracketCentered,2
14390,corrugatedMetalShapes:tablePole.025Centered,1
14449,corrugatedMetalShapes:ladderRound,3
16904,cntAmmoPileSmall,1
16907,cntMilitaryGoodsA,1
16909,cntMilitaryGoodsC,1
16910,cntMilitaryGoodsD,1
16925,cntShippingCrateShamway,1
17031,cntCabinetBottomFiller,1
17032,cntCabinetBottomRandomLootHelper,5
17104,cntPillCaseRandomLootHelper,1
17147,garbage_decor1,1
17292,cntSportsBag02RandomLootHelper,1
17306,satelliteUnitLarge,1
17341,controlPanelBase01Green,1
17351,controlPanelTop02Green,1
17356,controlPanelTop07Green,2
17470,motionsensorPOI,4
17475,loudspeaker,2
17580,decoComputerMonitorKeyboardMousePC,1
17581,decoComputerMonitorKeyboardMouse,2
17583,decoComputerMonitor,2
17593,decoServerRackArmyGreen,1
17603,tvExtraSmallStand1x1,1
17666,lightIndustrial,2
17778,workLightPOI,4
17787,spotlightDownStraight_POI,1
17788,spotlightDownRight_POI,1
18190,chainlinkFenceTopPlainPoleLeft,6
18191,chainlinkFenceTopPlainPoleRight,6
18358,cntBarrelPlasticSingle00,1
18408,goreBlockHumanCorpse,1
18409,goreBlockHumanCorpse1,1
18410,goreBlockHumanCorpse2,1
18412,goreBlockHumanCorpse3,1
18478,palletBrownBoxesTop,1
18522,palletTarpBaseArmyGreen,2
18550,palletCartonMilitaryTile,1
18551,palletCartonMilitaryTileCovered,1
18651,palletBagBlankBaseFullBlack,1
18656,palletBagBlankSingleBentBlack,1
19820,chairFoldingMetalUnfoldedArmy,1
19844,chairFoldingMetalFoldedFallenArmy,1
20343,cntMilitaryMetalShelvesEmpty,1
20347,cntMilitaryMetalShelvesRandomLootHelper,2
20392,cntGunRackSmallEmpty03,1
20393,cntGunRackSmallMagazines,1
20394,cntGunRackSmallArmor,1
20670,officeDesk,2
20723,cntFileCabinetTallGreenRandomLootHelper,1
20866,coneConstruction,7
20875,barrierPlasticOrange,4
20878,barrierConcrete,8
20879,barrierMilitary,31
21273,signRoadStop,2
21277,signSlowHanging,2
21395,signBulletinBoard02,1
21409,signSafetyWorkProtection,1
21484,barbedWireSpindle1m,4
21913,shippingContainerDoorsClosedGreen,2
21919,shippingContainerSideGreen,11
21922,shippingContainerSideHoleGreen,2
21923,shippingContainerCapGreen,7
22135,sleeperSit,2
22138,sleeperSideRight,1
22139,sleeperStomach,6
22152,infestedSleeperSit,1
