id,name,count
2,terrainFiller,94
16,terrGravel,52
259,woodShapes:cube,327
419,woodShapes:platePoleCorner,4
421,woodShapes:poleTwoWayPlate,12
728,woodShapes:wedge60,12
729,woodShapes:wedge60Tip,196
741,woodShapes:wedge60Incline,66
827,woodShapes:wedge60InclineHalfLeft,6
828,woodShapes:wedge60InclineHalfRight,6
831,woodShapes:wedge60TipHalfLeft,16
832,woodShapes:wedge60TipHalfRight,16
833,woodShapes:wedge60InclineHalfLeftFiller,2
834,woodShapes:wedge60InclineHalfRightFiller,2
928,woodShapes:gable3Quarter,2
931,woodShapes:gable3QuarterFull,11
932,woodShapes:gable3QuarterHalf,2
1437,woodShapes:cubeTrimQuarterCornerInside2,2
1521,woodShapes:cubeTrimQuarterEdgeDouble,11
1644,woodShapes:windowTrim,8
1645,woodShapes:windowTrimBottom,4
1802,woodShapes:window02Broken01,2
1804,woodShapes:window02Broken03,2
6421,concreteShapes:cube,143
13952,corrugatedMetalShapes:doorTrim1m,7
