id,name,count
17,terrGravel,49
285,woodShapes:pole,12
288,woodShapes:poleHalf,4
321,woodShapes:plate,30
643,woodShapes:plateGable,2
649,woodShapes:gablePlate,5
686,woodShapes:plateWedge60Left,2
687,woodShapes:plateWedge60Right,2
688,woodShapes:plateWedge60LeftTip,2
689,woodShapes:plateWedge60RightTip,2
694,woodShapes:plateWedge60Tip,20
695,woodShapes:plateWedge60Incline,10
696,woodShapes:plateWedge60Filler,10
1076,woodShapes:doorTrim1mDouble,2
1080,woodShapes:doorTrimThreeSided,2
1081,woodShapes:doorTrimSquare,2
1279,woodShapes:fence,30
