id,name,count
2,terrainFiller,45
15,terrDestroyedStone,224
17,terrGravel,22
1180,woodShapes:plateDestroyed,1
1181,woodShapes:plateDestroyed02,1
1183,woodShapes:plateDiagonalDestroyed,1
1192,woodShapes:plateWedge60TipDestroyed02,1
3598,concreteShapes:cube,14
9431,burntWoodBlock1,1
9432,burntWoodBlock2,3
9433,burntWoodBlock3,4
9434,burntWoodBlock4,4
9435,burntWoodBlock5,6
9893,rubblePileBricks,3
9894,rubblePileBricksLong,2
9901,rubblePileWoodBurntLarge,2
9902,rubblePileWoodBurntSmall,1
9907,concreteDestroyed05,14
9908,concreteDestroyed06,2
9909,concreteDestroyed07,15
