id,name,count
16,terrGravel,24
6433,concreteShapes:cube,25
12723,corrugatedMetalShapes:plate,62
13078,corrugatedMetalShapes:wedge60TipHalf,10
13278,corrugatedMetalShapes:plateGable,2
13284,corrugatedMetalShapes:gablePlate,5
13355,corrugatedMetalShapes:plateWedge60Left,2
13356,corrugatedMetalShapes:plateWedge60Right,2
13357,corrugatedMetalShapes:plateWedge60LeftTip,2
13358,corrugatedMetalShapes:plateWedge60RightTip,2
13365,corrugatedMetalShapes:plateWedge60Tip,10
13372,corrugatedMetalShapes:plateWedge60Incline,10
13375,corrugatedMetalShapes:plateWedge60Filler,10
13974,corrugatedMetalShapes:doorTrim0.5m,4
13976,corrugatedMetalShapes:doorTrim1m,12
14164,corrugatedMetalShapes:windowIndustrial02Broken01,1
14165,corrugatedMetalShapes:windowIndustrial02Broken02,1
18868,ironDoorGrey,1
