id,name,count
2,terrainFiller,18079
15,terrGravel,170
303,woodShapes:pole,79
1856,woodShapes:fence,327
1859,woodShapes:fenceBroken1,14
1860,woodShapes:fenceBroken2,14
10845,corrugatedMetalShapes:pole,42
10851,corrugatedMetalShapes:poleTwoWayCorner,12
10868,corrugatedMetalShapes:cubePoleCorner,12
10875,corrugatedMetalShapes:poleSquareDiagonal,12
12324,corrugatedMetalShapes:securityGatePlate,30
14495,hayBaleSquare,3
14496,hayBaleRound,9
14926,treeSmallRandomHelper,10
14928,treeMediumRandomHelper,6
14929,treeLargeRandomHelper,6
17593,sleeperBoarAnimal,9
17753,goreBlockAnimal,6
