id,name,count
2,terrainFiller,10108
16,terrGravel,102
310,woodShapes:pole,54
2124,woodShapes:fence,216
2127,woodShapes:fenceBroken1,12
2128,woodShapes:fenceBroken2,12
12652,corrugatedMetalShapes:pole,28
12658,corrugatedMetalShapes:poleTwoWayCorner,8
12679,corrugatedMetalShapes:cubePoleCorner,8
12692,corrugatedMetalShapes:poleSquareDiagonal,8
14378,corrugatedMetalShapes:securityGatePlate,20
17290,cntBagsRandomLootHelper,1
18407,goreBlockAnimal,3
18412,goreBlockHumanCorpse3,1
18452,rockResource,2
18455,rockResource02,2
21990,treeSmallRandomHelper,6
21992,treeMediumRandomHelper,2
21993,treeLargeRandomHelper,4
22122,sleeperCrawlerOnly,4
22125,sleeperBoarAnimal,2
22130,sleeperSnakeAnimal,3
22131,sleeperZombieDogAnimal,2
