id,name,count
292,woodShapes:cubeQuarterCenter,1
367,woodShapes:plate,2
2028,woodShapes:ladderSquare,6
17073,spotlightDownRight_POI,1
17130,banditWallRibbed2x1White,1
17135,banditWallRibbed2x1Green,1
17163,banditWallSiding2x2Brown,1
17167,banditWallSiding2x2Green,1
17187,banditPlatform2x2A,2
17188,banditPlatform3x2A,2
17203,banditSupport1m,10
17204,banditSupport2m,10
17210,banditSupport3x1B,6
17483,goreBlockHumanCorpse1,1
17484,goreBlockHumanCorpse2,1
17864,jailDoorBrown,1
20653,woodSpikesTrap2POI,2
20654,woodSpikesTrap1POI,2
20655,woodSpikesTrapBloodPOI,2
20672,barbedWireSpindle1m,11
