id,name,count
2,terrainFiller,563
14,terrDestroyedWoodDebris,50
15,terrGravel,54
16,terrAsphalt,869
6277,concreteShapes:cube,76
6286,concreteShapes:cubeHalfCorner,20
6287,concreteShapes:cubeHalfCorner2,32
6292,concreteShapes:cubeHalf,123
6316,concreteShapes:cubeTee,15
6393,concreteShapes:plate,91
6464,concreteShapes:pillar100,32
6858,concreteShapes:wedgeNarrowHigh,3
6859,concreteShapes:wedgeNarrowMid,3
7338,concreteShapes:cubeTrimHalfSplit,3
7921,concreteShapes:plateDestroyed03,1
8120,concreteShapes:plateSidewalkBroke01,1
8130,concreteShapes:roadPaintDash,116
8134,concreteShapes:roadPaintDashDiagonalFiller,2
8161,concreteShapes:roadPaintDash8mRamp05Left,4
8162,concreteShapes:roadPaintDash8mRamp06Left,6
8163,concreteShapes:roadPaintDash8mRamp07Left,4
8164,concreteShapes:roadPaintDash8mRamp08Left,4
8169,concreteShapes:roadPaintDash8mRamp05Right,4
8170,concreteShapes:roadPaintDash8mRamp06Right,6
8171,concreteShapes:roadPaintDash8mRamp07Right,4
8172,concreteShapes:roadPaintDash8mRamp08Right,4
16590,cntLootCrateHero,1
16948,cntBagsRandomLootHelper,1
17904,guardRailStraight,40
17905,guardRailPole,12
18097,goreBlockHumanCorpse3,1
20782,rebarDestroyed,4
20813,concreteHalfDestroyed05Left,2
20814,concreteHalfDestroyed05Right,3
20815,concreteHalfDestroyed06,3
20816,concreteHalfDestroyed07Left,4
20817,concreteHalfDestroyed07Right,2
20819,concreteHalfDestroyed09,2
20832,rubblePileCement,10
20833,rubblePileConcreteSmall,4
20834,rubbleRampBottom,4
20835,rubbleRampTop,4
21514,cntFrontCrumpledSedan01RandomHelper,1
21699,cntCar03SedanDamage0RandomHelper,1
21704,cntSUV01AirRandomHelper,1
21705,cntPickupTruck01AirRandomHelper,1
21707,cntPoliceCar01AirRandomHelper,1
21710,cntBusSchoolRandomHelper,1
21942,sleeperSit,3
21943,sleeperBack,2
21944,sleeperSideLeft,2
21945,sleeperSideRight,4
21946,sleeperStomach,2
21956,sleeperSnakeAnimal,2
