id,name,count
5629,concreteShapes:cube,8
6657,concreteShapes:cubeTrimQuarterEdge,10
6682,concreteShapes:cubeTrimQuarterCornerOutside,2
6686,concreteShapes:cubeTrimQuarterCornerInside,4
10999,corrugatedMetalShapes:cube,8
11093,corrugatedMetalShapes:plate,7
11104,corrugatedMetalShapes:plateHole,1
11155,corrugatedMetalShapes:billboard,3
11423,corrugatedMetalShapes:wedge60Tip,1
12235,corrugatedMetalShapes:doorTrimCorner,4
12239,corrugatedMetalShapes:doorTrim1m,20
12247,corrugatedMetalShapes:doorTrimTwoSided,2
15332,ductCornerDown,1
15362,pipeSmallCorner,1
15610,controlPanelBase02Grey,1
15618,controlPanelTop01Grey,1
15626,breakerBoxClosed,1
17825,airConditioner,1
19344,fakeCabinetDoorTrap1x2SheetMetal,3
