id,name,count
12199,corrugatedMetalShapes:cube,21
12214,corrugatedMetalShapes:cubeHalf,11
12231,corrugatedMetalShapes:cubeQuarter,4
12236,corrugatedMetalShapes:quarterInsideCorner,4
12250,corrugatedMetalShapes:pole,2
12284,corrugatedMetalShapes:poleSquareTipLeft,1
12285,corrugatedMetalShapes:poleSquareTipRight,1
12304,corrugatedMetalShapes:cubeHalfPlateCorner2,2
12319,corrugatedMetalShapes:plateCorner,1
12344,corrugatedMetalShapes:poleCornerCubePlate2,2
12369,corrugatedMetalShapes:billboard,2
12410,corrugatedMetalShapes:cubeHalfBottomPole1mTop,1
12412,corrugatedMetalShapes:pillar50Plate,1
12421,corrugatedMetalShapes:pillar0.025Middle,12
12446,corrugatedMetalShapes:pipeStraight,3
12449,corrugatedMetalShapes:pipeFlange,1
12450,corrugatedMetalShapes:pipeCorner,3
12451,corrugatedMetalShapes:pipeCap,1
12608,corrugatedMetalShapes:plateRound,4
12614,corrugatedMetalShapes:cubeHalfQuarterRoundInside,2
12658,corrugatedMetalShapes:wedge60Tip,3
12659,corrugatedMetalShapes:wedge60TipHalf,2
12691,corrugatedMetalShapes:wedge60SlopeTip,4
12728,corrugatedMetalShapes:wedge60SplitLeft02,1
12729,corrugatedMetalShapes:wedge60SplitRight02,1
12730,corrugatedMetalShapes:wedge60SplitLeft03,1
12731,corrugatedMetalShapes:wedge60SplitRight03,1
12754,corrugatedMetalShapes:cubeHalfWedge60BevelLeft,3
12755,corrugatedMetalShapes:cubeHalfWedge60BevelRight,2
12760,corrugatedMetalShapes:wedge60TipHalfLeft,4
12761,corrugatedMetalShapes:wedge60TipHalfRight,4
13000,corrugatedMetalShapes:slopePlate01,2
13001,corrugatedMetalShapes:slopePlate02,2
13251,corrugatedMetalShapes:halfTrimSplit,4
13274,corrugatedMetalShapes:cubeHalfQuarterRoundOutsideTrim,8
13279,corrugatedMetalShapes:cubeHalfTrimDiagonalHalf,1
13442,corrugatedMetalShapes:cubeTrimCornerRound,2
13541,corrugatedMetalShapes:doorTrim1mOffCenter,4
13591,corrugatedMetalShapes:windowStoreThreeSidedFull,2
13592,corrugatedMetalShapes:windowStoreFourSidedFull,1
13927,corrugatedMetalShapes:dynamicGrate,1
13938,corrugatedMetalShapes:tablePole.025Centered,6
13944,corrugatedMetalShapes:cupboardCorner,2
13995,corrugatedMetalShapes:ladderRound,1
16858,controlPanelBase02Red,1
17217,lightIndustrialMountedWall,2
17948,decoCarWheelFlat,2
19013,glassBusinessPlateCurved,3
19466,officeChair01,1
19483,oldChair1Brown,1
20751,pipeSmallWallCorner,1
