id,name,count
2,terrainFiller,52
2499,brickShapes:cube,62
3641,brickShapes:cubeTrimHalfSplit4Sided,4
3642,brickShapes:cubeTrimHalfSplit,16
6979,concreteShapes:cube,80
7133,concreteShapes:plateHalf,42
13699,corrugatedMetalShapes:cube,6
13722,corrugatedMetalShapes:cubeCornerBeveled,4
13895,corrugatedMetalShapes:pillar100,2
13898,corrugatedMetalShapes:pillar1006Way,2
13969,corrugatedMetalShapes:pipeFlange,2
13974,corrugatedMetalShapes:pipeThinCornerDown,4
13980,corrugatedMetalShapes:pillar25,1
14138,corrugatedMetalShapes:cubeQuarterRoundOutside,2
14306,corrugatedMetalShapes:wedgeNarrowLow,2
14307,corrugatedMetalShapes:wedgeNarrowTip,22
14545,corrugatedMetalShapes:slopePlate01,10
14548,corrugatedMetalShapes:slopePlate04,18
14549,corrugatedMetalShapes:slopeHalfPlateLeft01,2
14552,corrugatedMetalShapes:slopeHalfPlateLeft04,8
14553,corrugatedMetalShapes:slopeHalfPlateLeftFiller,7
14554,corrugatedMetalShapes:slopeHalfPlateRight01,2
14557,corrugatedMetalShapes:slopeHalfPlateRight04,8
14558,corrugatedMetalShapes:slopeHalfPlateRightFiller,7
14782,corrugatedMetalShapes:cubeBaseboard4Sided,2
14845,corrugatedMetalShapes:halfTrimSplit,4
15092,corrugatedMetalShapes:cubeHeatVent,2
15639,corrugatedMetalShapes:securityGatePlate,3
15706,corrugatedMetalShapes:verticalBlindsBottomOpen,2
15898,corrugatedMetalShapes:signLetter_e,2
15901,corrugatedMetalShapes:signLetter_h,2
18936,breakerBoxClosed,1
18942,commercialDistributionBox,1
18948,conduit01,1
18949,conduit01End,4
18953,conduitSingleCentered,1
19191,lightCeiling07,1
20454,ironDoorBlack,1
