id,name,count
13843,corrugatedMetalShapes:cube,1
13997,corrugatedMetalShapes:plateHalf,1
14031,corrugatedMetalShapes:billboard,1
14120,corrugatedMetalShapes:pipeThinCornerUp,4
14127,corrugatedMetalShapes:pillar50x25x50Tee,4
15498,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,1
15766,corrugatedMetalShapes:cubeHollowFloor,2
15826,corrugatedMetalShapes:buffetCounter,4
19111,controlPanelTop02White,1
19142,commercialDualMeter,1
19145,conduit01,1
19146,conduit01End,1
19387,lightCeilingBulbMountWhite,1
24155,fakeCabinetDoorTrap1x2SheetMetal,2
