id,name,count
1239,woodShapes:counterBottomFiller,1
1550,woodShapes:windowTrim,3
11552,corrugatedMetalShapes:polePlate,13
11566,corrugatedMetalShapes:plate,26
11578,corrugatedMetalShapes:plateCorner,3
11595,corrugatedMetalShapes:plateHalf,10
12340,corrugatedMetalShapes:catwalkV2,1
12700,corrugatedMetalShapes:plateTrimSplitInside,4
12758,corrugatedMetalShapes:windowTrim,12
12790,corrugatedMetalShapes:windowStoreOneSidedFull,2
12794,corrugatedMetalShapes:windowStoreCornerFull,4
13109,corrugatedMetalShapes:bookcaseEmpty,2
13124,corrugatedMetalShapes:storageCubeHalf,2
13130,corrugatedMetalShapes:verticalBlindsTopRailOnly,1
16458,signCigaretteAd,1
16577,cntCabinetBottomRandomLootHelper,1
16578,cntCabinetBottom,1
16711,cntFreezerBeveragesStandaloneRandomLootHelper,1
17849,cntCashRegisterRandomLootHelper,1
17986,cntStoreShelfSingleBottomEmpty,1
17987,cntStoreShelfSingleTopEmpty,1
17990,cntStoreShelfSingleBottomFood01,1
18021,cntStoreShelfSingleBottomTrash01,1
18022,cntStoreShelfSingleBottomTrash02,1
18023,cntStoreShelfSingleTopTrash01,1
18045,cntDisplayCaseEmptyLeft,1
18049,cntDisplayCaseEmptyRight,1
18059,cntGunRackSmallEmpty02,4
18173,cntBookShelfSingleCapBottomEmpty,1
18176,cntBookShelfSingleCapBottomRandomLootHelper,2
19063,lightCeiling07,1
19615,commercialDoorV4Grey,1
