id,name,count
13384,corrugatedMetalShapes:cubeHalf,7
13392,corrugatedMetalShapes:cubeCornerBeveled,5
13493,corrugatedMetalShapes:plate,8
13523,corrugatedMetalShapes:plateHalf,2
13797,corrugatedMetalShapes:cubeHalfCornerRound1m,1
14294,corrugatedMetalShapes:stairsFilledQuarterVerticalUV,1
14803,corrugatedMetalShapes:doorTrim1m,9
15269,corrugatedMetalShapes:prepTable,2
15284,corrugatedMetalShapes:counterHalfHollowTopOffset,2
15290,corrugatedMetalShapes:plateCounterSquareHole,1
15312,corrugatedMetalShapes:bookcaseOpenEnded,5
18100,sinkKitchen,1
18552,cntgasRangeGrey,2
18621,decoCookingPotRandomLootHelper,1
