id,name,count
12607,corrugatedMetalShapes:cube,6
12622,corrugatedMetalShapes:cubeHalf,3
12723,corrugatedMetalShapes:plate,2
13078,corrugatedMetalShapes:wedge60TipHalf,6
13974,corrugatedMetalShapes:doorTrim0.5m,4
13976,corrugatedMetalShapes:doorTrim1m,2
13977,corrugatedMetalShapes:doorTrim1mOffCenter,8
14427,corrugatedMetalShapes:bookcaseEmpty,2
14435,corrugatedMetalShapes:bookcaseOpenEnded,4
16919,cntChemPileSmall,1
16924,cntMedicLootPileB,1
17056,cntCabinetOldBottomLootHelper,4
17063,cntCabinetOldCNRRoundFiller,4
17073,cntCounterHollowCabinetTaupeRandomLootHelper,2
17075,sinkKitchen,2
17677,lightCeiling07,1
19922,officeChair01Black,2
