id,name,count
2,terrainFiller,1977
5,terrDirt,310
6811,concreteShapes:cube,109
6815,concreteShapes:cube1mHole,8
6826,concreteShapes:cubeHalf,8
6834,concreteShapes:cubeCornerBeveled,6
7099,concreteShapes:3mTunnelCenter,26
7103,concreteShapes:3mTunnelCorner,28
7256,concreteShapes:cubeHalfRamp,3
7548,concreteShapes:rampInclineFiller,6
8517,concreteShapes:windowTopRound,6
10057,steelShapes:bars,3
10688,steelShapes:arch3mWindowCornerTwoSided,4
10689,steelShapes:arch3mWindowCenterTwoSided,4
13647,corrugatedMetalShapes:3mTubeCenter,8
13648,corrugatedMetalShapes:3mTubeCorner,8
18166,cntTrashPile01,1
18167,cntTrashPile02,1
18168,cntTrashPile03,1
18326,cntBagsRandomLootHelper,1
19436,cntBarrelRadiatedSingle45,2
19498,goreBlockHumanBones,1
21413,bodyBagYellow,6
23364,treeDeadPineLeaf,4
23374,plantShrubRandomHelper,8
23561,sleeperSnakeAnimal,2
