id,name,count
2,terrainFiller,169
16,terrGravel,2
17,terrAsphalt,90
6997,concreteShapes:cube,19
7054,concreteShapes:pole,5
7112,concreteShapes:poleSquareCornerRound,2
7400,concreteShapes:arch,2
8251,concreteShapes:cubeTrimQuarterCornerInside,1
8309,concreteShapes:cubeTrimHalfSplitDiagonal,2
8326,concreteShapes:cubeTrimQuarterEdgeTwoSided,31
8346,concreteShapes:cubeTrimCornerRound,8
9066,concreteShapes:roadPaintDash,5
9086,concreteShapes:roadPaintArrowStraight,2
19881,guardRailStraight,4
19882,guardRailPole,2
19885,guardRailPoleTall,1
19888,guardRailBend,1
