id,name,count
2,terrainFiller,54
13759,corrugatedMetalShapes:poleHalf,2
13786,corrugatedMetalShapes:cubePoleCentered,6
13798,corrugatedMetalShapes:poleSquareDiagonal,2
13802,corrugatedMetalShapes:polePlateHalf,2
13823,corrugatedMetalShapes:plate,3
13885,corrugatedMetalShapes:billboardQuarterTrim,4
13886,corrugatedMetalShapes:billboardHalf,6
13895,corrugatedMetalShapes:pillar100,2
13907,corrugatedMetalShapes:pillar50,2
13958,corrugatedMetalShapes:poleSupport,1
13959,corrugatedMetalShapes:poleSupport2,1
13972,corrugatedMetalShapes:pipeCap,2
14110,corrugatedMetalShapes:arch3mTip,5
14127,corrugatedMetalShapes:cornerRound,2
14438,corrugatedMetalShapes:rampIncline,1
14439,corrugatedMetalShapes:rampInclineFiller,1
14471,corrugatedMetalShapes:plateWedge60Left,1
14472,corrugatedMetalShapes:plateWedge60Right,1
14473,corrugatedMetalShapes:plateWedge60LeftTip,1
14474,corrugatedMetalShapes:plateWedge60RightTip,1
14845,corrugatedMetalShapes:halfTrimSplit,4
15038,corrugatedMetalShapes:cubeHalfTrimQuarterEdgeDouble,4
15046,corrugatedMetalShapes:cubeTrimQuarterEdgeRound,1
15047,corrugatedMetalShapes:cubeHalfTrimQuarterEdgeRound,4
15072,corrugatedMetalShapes:wedge60TrimQuarterLeft2Sided,1
15100,corrugatedMetalShapes:plateTrimSplit,3
15166,corrugatedMetalShapes:windowTrimBottom,1
15640,corrugatedMetalShapes:dynamicGrate,1
18633,laundryCartEmpty,1
18926,controlPanelBase07Grey,2
18936,breakerBoxClosed,1
18949,conduit01End,1
19212,industrialLight01,1
22899,factoryConveyorBridge,1
22904,factoryConveyorWedgeRamp,2
23061,rubblePileCement,1
