id,name,count
1793,woodShapes:windowBoarded,4
12046,corrugatedMetalShapes:cubeHalf,2
12139,corrugatedMetalShapes:plate,74
12178,corrugatedMetalShapes:platePoleSideCentered,1
12201,corrugatedMetalShapes:billboard,16
12249,corrugatedMetalShapes:pillar0.025Middle,4
13353,corrugatedMetalShapes:doorTrimCorner,4
13357,corrugatedMetalShapes:doorTrim1m,36
13478,corrugatedMetalShapes:windowPlateRoundedSquare4SidedBroken,4
13487,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
16206,cntAmmoPileSmall,1
16405,cntPillCaseClosed,1
16453,garbage_decor2,1
16614,satelliteUnitLarge,1
16707,controlPanelTop02Grey,1
16712,controlPanelTop07Grey,1
16726,conduit01,2
16728,conduit01Curve,1
16730,conduit01Corner,1
16892,decoComputerMonitorKeyboardMouse,1
16986,lightIndustrialRed,1
17056,deskLampLight,1
18493,trailerDoorBrown,1
19186,cntDeskMetalGreyRandomLootHelper,2
19239,officeChair01Green,2
19434,cntWaterCoolerFullSideCentered,1
20156,cntFileCabinetTallRandomLootHelper,1
20275,metalRailing,3
21341,semiFlatbedBack,1
21345,semiFlatbedMiddle,1
21348,semiFlatbedFront,1
