id,name,count
6433,concreteShapes:cube,37
6448,concreteShapes:cubeHalf,5
6465,concreteShapes:cubeQuarter,2
12723,corrugatedMetalShapes:plate,14
13976,corrugatedMetalShapes:doorTrim1m,17
14054,corrugatedMetalShapes:windowStoreOneSidedEmpty,36
14364,corrugatedMetalShapes:plateBracketCentered,3
14620,corrugatedMetalShapes:signLetter_a,3
14621,corrugatedMetalShapes:signLetter_b,1
14622,corrugatedMetalShapes:signLetter_c,1
14624,corrugatedMetalShapes:signLetter_e,3
14626,corrugatedMetalShapes:signLetter_g,1
14631,corrugatedMetalShapes:signLetter_l,1
14633,corrugatedMetalShapes:signLetter_n,2
14641,corrugatedMetalShapes:signLetter_v,1
14645,corrugatedMetalShapes:signLetter_z,1
16724,bulletproofShapes:windowStoreTwoSidedBulletproofFull,20
16725,bulletproofShapes:windowStoreThreeSidedBulletproofFull,12
17328,satelliteUnitSmallFloor,3
