id,name,count
5578,concreteShapes:cube,63
15990,portaPottyBackWhite,1
15991,portaPottyBackBrown,1
15992,portaPottyBackRed,1
15993,portaPottyBackOrange,1
15994,portaPottyBackYellow,1
15995,portaPottyBackGreen,1
15996,portaPottyBackBlue,1
15997,portaPottyBackPurple,1
15998,portaPottyBackGrey,1
15999,portaPottyBackPink,1
16000,portaPottyTopSidesWhite,1
16001,portaPottyTopSidesBrown,1
16002,portaPottyTopSidesRed,1
16003,portaPottyTopSidesOrange,1
16004,portaPottyTopSidesYellow,1
16005,portaPottyTopSidesGreen,1
16006,portaPottyTopSidesBlue,1
16007,portaPottyTopSidesPurple,1
16008,portaPottyTopSidesGrey,1
16009,portaPottyTopSidesPink,1
16010,portaPottyDoorWhite,1
16011,portaPottyDoorBrown,1
16012,portaPottyDoorRed,1
16013,portaPottyDoorOrange,1
16014,portaPottyDoorYellow,1
16015,portaPottyDoorGreen,1
16016,portaPottyDoorBlue,1
16017,portaPottyDoorPurple,1
16018,portaPottyDoorGrey,1
16019,portaPottyDoorPink,1
18056,sleeperIdle,10
