id,name,count
316,woodShapes:pole,19
333,woodShapes:poleSquareBracketCorner,4
383,woodShapes:plate,32
424,woodShapes:platePoleSideCentered,6
425,woodShapes:platePoleCentered,3
427,woodShapes:platePoleCorner,1
1194,woodShapes:stairs,1
1246,woodShapes:catwalkV1,4
1247,woodShapes:catwalkV1RailSingle,10
2260,woodShapes:ladderSquare,1
2274,woodShapes:fence,19
7204,concreteShapes:3mTubeCenter,99
7205,concreteShapes:3mTubeCorner,100
13703,corrugatedMetalShapes:plate,4
13989,corrugatedMetalShapes:arch3mTip,3
15407,corrugatedMetalShapes:plateDestroyed,1
15408,corrugatedMetalShapes:plateDestroyed02,1
15449,corrugatedMetalShapes:shantywall04,5
15468,corrugatedMetalShapes:iBeamSmall,12
18251,cntAmmoPileSmall,1
18510,rubbishDecor11,1
18614,cntCoolerRandomLootHelper,1
18801,keyRackWood01,1
18894,cntCharcoalGrillRandomLootHelper,1
19075,lanternOld_04,1
19475,banditWallCorrugated1x3,3
19483,banditWallRibbed2x1White,2
19488,banditWallRibbed2x1Green,3
19490,banditWallRibbed2x1Grey,1
19492,banditWallRibbed3x2Brown,1
19496,banditWallRibbed3x2Green,2
19498,banditWallRibbed3x2Grey,1
19512,banditWallSiding1x4Green,1
19514,banditWallSiding1x4Grey,1
19516,banditWallSiding2x2Brown,1
19523,banditWallSiding3x3White,1
19524,banditWallSiding3x3Brown,1
19812,cntBarrelPlasticSingle00,1
20062,palletBagFertilizerCapSml,1
20270,oldWoodDoor,3
20801,woodHatch,4
21525,chairFoldingMetalUnfoldedBrown,2
21713,cntWaterCoolerBottleSideCentered,1
21755,bedrollPOI,1
22280,cntBookPile11,1
22626,coneConstruction,1
23044,signDoNotEnterHanging,1
23253,woodSpikesTrapBloodPOI,8
23266,barbedWireSpindle1m,2
23267,barbedWireSpindleDiagonal1m,8
23268,barbedWireSpindle2,2
23893,plantedBlueberryHarvestRandomHelper,1
23899,plantedPotatoHarvestRandomHelper,1
23938,farmPlotBlockRaised,2
