id,name,count
2,terrainFiller,1056
5,terrDirt,83
16,terrGravel,201
13756,corrugatedMetalShapes:pole,12
13785,corrugatedMetalShapes:cubePoleCorner,4
13823,corrugatedMetalShapes:plate,8
13858,corrugatedMetalShapes:plateHalfTriangle,4
14452,corrugatedMetalShapes:plateDiagonal,4
14455,corrugatedMetalShapes:plateDiagonalFiller,4
18648,cntTrashBoxRandomLootHelper,2
20231,palletBagConcreteBaseMed,1
20233,palletBagConcreteBaseSml,1
20236,palletBagConcreteSingleFlat,1
22164,cntToolBoxOffsetRandomLootHelperRed,1
22909,coneConstruction,3
22918,barrierPlasticWhite,2
22931,portaPottyBlue,1
22951,portaPottyBackBlue,1
22961,portaPottyTopSidesBlue,1
22971,portaPottyDoorBlue,1
23961,excavatorOrange,1
24266,cntCementMixerBustedRandomLootHelper,1
24277,sleeperBack,1
24278,sleeperSideLeft,3
24279,sleeperSideRight,1
24280,sleeperStomach,1
24281,sleeperIdle,1
