id,name,count
375,woodShapes:plate,33
387,woodShapes:plateCorner,1
388,woodShapes:plateCornerHalfTop,3
500,woodShapes:pillar0.05Middle,2
930,woodShapes:plateGable,2
1009,woodShapes:plateWedge60LeftTip,2
1010,woodShapes:plateWedge60RightTip,2
1624,woodShapes:doorTrim1m,16
1845,woodShapes:windowBoarded,3
2015,woodShapes:tableDynamic,2
2080,woodShapes:mirror,2
2099,woodShapes:fence,10
13116,corrugatedMetalShapes:gablePlate,3
13197,corrugatedMetalShapes:plateWedge60Tip,8
13207,corrugatedMetalShapes:plateWedge60Filler,4
13312,corrugatedMetalShapes:gablePlatePillar0.025,1
13804,corrugatedMetalShapes:doorTrim1m,2
13812,corrugatedMetalShapes:doorTrimTwoSided,2
14167,corrugatedMetalShapes:bracket,2
16993,cntTrashPile02,1
17498,lightCeilingBulbMountWhite,4
17502,lightCeilingBulbSocketWhite,1
18444,palletEmpty,1
18530,palletBagBlankBaseMedGreen,1
18596,plantAloePottedCornerGrey,1
18712,oldWoodDoor,1
19826,chairFoldingMetalUnfoldedWhite,1
20329,cntStoreShelfSingleBottomEmpty,2
20330,cntStoreShelfSingleTopEmpty,2
20335,cntStoreShelfSingleBottomFoodRandomLootHelper,2
20337,cntStoreShelfSingleTopFoodRandomLootHelper,2
20386,cntStoreProduceBasketRandomLootHelper,6
20387,cntStoreProduceBasketEmpty1,4
20565,cntCashRegisterRandomLootHelper,1
20616,cntShoppingBasketRandomLootHelper,1
