id,name,count
384,woodShapes:plateHalf,4
390,woodShapes:plateQuarterTriangleCorner,2
1777,woodShapes:sawhorse,2
12374,corrugatedMetalShapes:doorTrim1m,4
12378,corrugatedMetalShapes:doorTrim1mDouble,36
12379,corrugatedMetalShapes:doorTrim1mDoubleCentered,8
12383,corrugatedMetalShapes:doorTrimThreeSided,6
12627,corrugatedMetalShapes:scaffoldingLadder,18
12628,corrugatedMetalShapes:scaffoldingRails,6
12629,corrugatedMetalShapes:scaffoldingPlank,17
12630,corrugatedMetalShapes:scaffoldingPlankSupported,20
12632,corrugatedMetalShapes:scaffoldingPlankSupportedCenter,4
12633,corrugatedMetalShapes:scaffoldingPlankRamp,3
12635,corrugatedMetalShapes:scaffoldingRamp,6
12636,corrugatedMetalShapes:scaffoldingRampFiller,6
16457,cntTiltTruckFull,1
17449,cntToolBoxRandomLootHelperRed,2
18019,palletBricksBase,3
18021,palletBricksPartial1,1
18024,palletBricksLoose,2
18089,palletBagConcreteBaseMed,1
18092,palletBagConcreteCapSml,1
