id,name,count
16796,cntTrashPile02,1
16804,garbage_decor1,2
16805,garbage_decor2,2
18177,palletBrownBoxesBase,4
18178,palletBrownBoxesTile,5
18179,palletBrownBoxesTop,1
18180,palletBrownBoxesTopSmall,1
18181,palletBrownBoxesLoose,1
18220,palletTarpBaseBlue,6
18240,palletCompressedCardboard,3
18243,palletEmptyStack,2
18262,palletBagFlourBaseFull,1
18263,palletBagFlourTile,1
18314,palletBagBlankBaseMedOrange,2
20240,cntStoreElectronicsPalletTvFallen,1
20682,decoHandTruck,1
21604,cntSemiTruck01ModularFrontRandomHelper,1
21615,cntSemiTruck01ModularRearEndFlatbedStraight,1
21716,semiFlatbedBack,1
21720,semiFlatbedMiddle,2
21730,shippingContainerDoorRightOpenGreen,1
21731,shippingContainerDoorRightRotatedGreen,1
21732,shippingContainerSideGreen,8
21734,shippingContainerSideTextGreen,1
21736,shippingContainerCapGreen,1
21738,shippingContainerSide2mGreen,3
21926,cntStoreCratesRandomLootHelper,1
21942,sleeperSit,2
21947,sleeperIdle,2
21948,sleeperCrawlerOnly,3
