id,name,count
2,terrainFiller,1684
5,terrDirt,1
16,terrGravel,1429
17,terrAsphalt,3149
18,terrConcrete,549
259,woodShapes:cube,845
274,woodShapes:cubeHalf,152
293,woodShapes:quarterCenteredWall,8
297,woodShapes:quarterInsideCorner3way,4
310,woodShapes:pole,175
312,woodShapes:poleSideCentered,21
375,woodShapes:plate,132
405,woodShapes:plateHalf,2
509,woodShapes:poleSupport,6
510,woodShapes:poleSupport2,6
511,woodShapes:poleSupportCenter,6
512,woodShapes:poleCross,3
728,woodShapes:wedge60,98
729,woodShapes:wedge60Tip,307
735,woodShapes:wedge60Corner,4
736,woodShapes:wedge60TipCorner,8
738,woodShapes:wedge60InsideCorner,4
741,woodShapes:wedge60Incline,102
751,woodShapes:wedge60InclineCorner,4
827,woodShapes:wedge60InclineHalfLeft,8
828,woodShapes:wedge60InclineHalfRight,8
831,woodShapes:wedge60TipHalfLeft,20
832,woodShapes:wedge60TipHalfRight,20
928,woodShapes:gable3Quarter,32
932,woodShapes:gable3QuarterHalf,4
1148,woodShapes:stairsRailing,2
1273,woodShapes:cubeBaseboard,2
1294,woodShapes:cubeBaseboardChairRail,2
1297,woodShapes:cubeBaseboardChairRail4Sided,42
1644,woodShapes:windowTrim,76
1645,woodShapes:windowTrimBottom,44
1646,woodShapes:windowTrimSides,36
1797,woodShapes:window01Broken,7
1798,woodShapes:window01Broken02,7
1871,woodShapes:windowBoarded,1
1979,woodShapes:shantywall03,1
1992,woodShapes:floorJoist,116
2040,woodShapes:table,1
2041,woodShapes:tableDynamic,2
2054,woodShapes:cupboardCorner,6
2104,woodShapes:pictureFrame,1
2106,woodShapes:mirror,3
2125,woodShapes:fence,15
6433,concreteShapes:cube,1546
6448,concreteShapes:cubeHalf,18
6465,concreteShapes:cubeQuarter,12
7016,concreteShapes:wedgeNarrowHigh,12
7017,concreteShapes:wedgeNarrowMid,12
7018,concreteShapes:wedgeNarrowLow,12
7019,concreteShapes:wedgeNarrowTip,12
7574,concreteShapes:cubeHalfTrimQuarterEdgeBottom,5
7609,concreteShapes:cubeHalfTrimQuarterCornerInside,2
7611,concreteShapes:cubeTrimQuarterCornerInside2,2
7695,concreteShapes:cubeTrimQuarterEdgeDouble,9
8491,steelShapes:cube,3
8523,steelShapes:cubeQuarter,24
8608,steelShapes:plateCentered,3
8691,steelShapes:pillar50,1
12607,corrugatedMetalShapes:cube,319
12622,corrugatedMetalShapes:cubeHalf,80
12658,corrugatedMetalShapes:pole,38
12659,corrugatedMetalShapes:poleCentered,12
12668,corrugatedMetalShapes:poleSquareSideCenteredTee,4
12673,corrugatedMetalShapes:poleSquareBracketCorner,4
12678,corrugatedMetalShapes:poleSquareBracketDouble,4
12680,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,4
12685,corrugatedMetalShapes:cubePoleCorner,4
12720,corrugatedMetalShapes:cubeHalfPlateCorner2,4
12723,corrugatedMetalShapes:plate,189
12724,corrugatedMetalShapes:plateCentered,18
12735,corrugatedMetalShapes:plateCorner,2
12763,corrugatedMetalShapes:platePole,4
12787,corrugatedMetalShapes:billboard,53
12790,corrugatedMetalShapes:plateDouble,1
12795,corrugatedMetalShapes:pillar100,2
12807,corrugatedMetalShapes:pillar50,4
12833,corrugatedMetalShapes:pillar0.0125Centered,9
12835,corrugatedMetalShapes:pillar0.025,4
12837,corrugatedMetalShapes:pillar0.025Centered,5
12846,corrugatedMetalShapes:pillar0.05Centered,4
12848,corrugatedMetalShapes:pillar0.05Middle,11
12870,corrugatedMetalShapes:pipeThin,4
12871,corrugatedMetalShapes:pipeThinCornerDown,1
12872,corrugatedMetalShapes:pipeThinCornerUp,2
13024,corrugatedMetalShapes:cornerRound,1
13042,corrugatedMetalShapes:ramp,29
13076,corrugatedMetalShapes:wedge60,68
13077,corrugatedMetalShapes:wedge60Tip,471
13084,corrugatedMetalShapes:wedge60TipCorner,4
13089,corrugatedMetalShapes:wedge60Incline,148
13099,corrugatedMetalShapes:wedge60InclineCorner,4
13123,corrugatedMetalShapes:rampInclineHalfLeft,14
13124,corrugatedMetalShapes:rampInclineHalfRight,14
13175,corrugatedMetalShapes:wedge60InclineHalfLeft,18
13176,corrugatedMetalShapes:wedge60InclineHalfRight,18
13179,corrugatedMetalShapes:wedge60TipHalfLeft,46
13180,corrugatedMetalShapes:wedge60TipHalfRight,46
13324,corrugatedMetalShapes:rampIncline,94
