id,name,count
9066,concreteShapes:roadPaintDash,10
9069,concreteShapes:roadPaintDiagonal,2
9070,concreteShapes:roadPaintDashDiagonalFiller,4
18454,cntMunitionsBoxArmy,1
18478,smallPileRandomHelper,1
18825,cntCoolerRandomLootHelper,1
19430,burningBarrel,1
19682,cntCampingTentDomeRandomHelper,1
19815,sandbagStraight01,12
19819,sandbagEnd01,4
19820,sandbagEnd02,2
20117,corpseHangingLog1White,2
21748,decoTableRound,1
21848,chairCampingRandomHelper,2
22035,bedrollPOI,1
22036,bedrollArmyGreenPOI,1
22129,mattressFlatThin,2
24389,sleeperSit,1
24390,sleeperBack,1
24391,sleeperSideLeft,2
24392,sleeperSideRight,1
24393,sleeperStomach,1
