id,name,count
2,terrainFiller,36
15,terrGravel,63
11012,corrugatedMetalShapes:cubeHalf,7
11043,corrugatedMetalShapes:pole,36
11052,corrugatedMetalShapes:poleSquareSideCenteredTee,4
11057,corrugatedMetalShapes:poleSquareBracketCorner,4
11060,corrugatedMetalShapes:poleSquareBracketDouble,4
11062,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,4
11066,corrugatedMetalShapes:cubePoleCorner,4
11090,corrugatedMetalShapes:cubeHalfPlateCorner2,4
11093,corrugatedMetalShapes:plate,54
11105,corrugatedMetalShapes:plateCorner,2
11131,corrugatedMetalShapes:platePole,4
11158,corrugatedMetalShapes:plateDouble,1
11800,corrugatedMetalShapes:stairsRailingMetal,5
11855,corrugatedMetalShapes:catwalkV2RailCornerEnd,2
11884,corrugatedMetalShapes:catwalkV2RailOnly,13
11898,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,4
11899,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,5
12239,corrugatedMetalShapes:doorTrim1m,16
12289,corrugatedMetalShapes:windowStoreThreeSidedFull,6
12291,corrugatedMetalShapes:windowStoreCornerFull,8
12404,corrugatedMetalShapes:windowPanel,10
12525,corrugatedMetalShapes:trussingUncentered,21
12547,corrugatedMetalShapes:table,1
12641,corrugatedMetalShapes:roadPaintDash,6
12662,corrugatedMetalShapes:roadPaintWedge,6
12663,corrugatedMetalShapes:roadPaintWedgeTip,6
12665,corrugatedMetalShapes:roadPaintWedge2,6
12666,corrugatedMetalShapes:roadPaintWedge2Tip,6
18406,lightCeiling07,1
18868,commercialGlassDoor,1
