id,name,count
11079,corrugatedMetalShapes:pillar0.025Middle,8
11540,corrugatedMetalShapes:plateWedge60Left,1
11541,corrugatedMetalShapes:plateWedge60Right,1
11786,corrugatedMetalShapes:plateLocalNorthSouthFace,4
11787,corrugatedMetalShapes:plateHalfLocalNorthSouthFace,7
12109,corrugatedMetalShapes:doorTrim0.5m,2
12111,corrugatedMetalShapes:doorTrim1m,2
12127,corrugatedMetalShapes:windowTrim,3
16800,bodyBagPile,2
16801,bodyBagPileMix,3
16802,bodyBagPair,2
16803,bodyBagPairYellow,1
16804,bodyBagPairMixed,1
16805,bodyBagBlackFlies,1
16806,bodyBagYellowFlies,1
17938,semiFlatbedBack,1
17944,semiFlatbedFront,2
