id,name,count
7607,corrugatedMetalShapes:pillar0.025Middle,8
7929,corrugatedMetalShapes:plateWedge60Left,1
7930,corrugatedMetalShapes:plateWedge60Right,1
8095,corrugatedMetalShapes:plateLocalNorthSouthFace,4
8096,corrugatedMetalShapes:plateHalfLocalNorthSouthFace,7
8335,corrugatedMetalShapes:doorTrim0.5m,2
8336,corrugatedMetalShapes:doorTrim1m,2
8346,corrugatedMetalShapes:windowTrim,3
11837,bodyBagPile,2
11838,bodyBagPileMix,2
11839,bodyBagPair,2
11840,bodyBagPairYellow,1
11841,bodyBagPairMixed,1
11842,bodyBagBlackFlies,1
11843,bodyBagYellowFlies,1
12412,semiFlatbedBack,1
12415,semiFlatbedFront,2
12442,sleeperStomach,1
