id,name,count
2,terrainFiller,43540
16,terrGravel,44
17,terrAsphalt,1031
6919,concreteShapes:cube,1524
6934,concreteShapes:cubeHalf,36
7364,concreteShapes:ramp,308
7380,concreteShapes:rampOutsideCornerFull,60
7399,concreteShapes:wedge60,198
7400,concreteShapes:wedge60Tip,220
7522,concreteShapes:wedgeNarrowHigh,110
7523,concreteShapes:wedgeNarrowMid,120
7524,concreteShapes:wedgeNarrowLow,120
7525,concreteShapes:wedgeNarrowTip,120
7654,concreteShapes:halfRampStairs50,4
8119,concreteShapes:cubeTrimQuarterEdge,157
8167,concreteShapes:cubeTrimQuarterCornerInsideTriangle,16
8229,concreteShapes:cubeTrimQuarterEdgeTwoSided,82
8235,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,4
8272,concreteShapes:cubeTrimQuarterRamp,48
8273,concreteShapes:wedge60TrimQuarterLeft,22
8274,concreteShapes:wedge60TrimQuarterRight,22
8275,concreteShapes:wedge60TipTrimQuarterLeft,22
8276,concreteShapes:wedge60TipTrimQuarterRight,22
8277,concreteShapes:wedge60TrimQuarterLeftFiller,11
8278,concreteShapes:wedge60TrimQuarterRightFiller,11
8279,concreteShapes:wedge60TrimQuarterLeft2Sided,11
8280,concreteShapes:wedge60TrimQuarterRight2Sided,11
8281,concreteShapes:wedge60TipTrimQuarterLeft2Sided,11
8282,concreteShapes:wedge60TipTrimQuarterRight2Sided,11
8283,concreteShapes:wedgeNarrowHighLeftTrim2Sided,17
8284,concreteShapes:wedgeNarrowMidLeftTrim2Sided,18
8285,concreteShapes:wedgeNarrowLowLeftTrim2Sided,18
8286,concreteShapes:wedgeNarrowTipLeftTrim2Sided,18
8287,concreteShapes:wedgeNarrowBottomTrimLeft,6
8289,concreteShapes:wedgeNarrowHighRightTrim2Sided,17
8290,concreteShapes:wedgeNarrowMidRightTrim2Sided,18
8291,concreteShapes:wedgeNarrowLowRightTrim2Sided,18
8292,concreteShapes:wedgeNarrowTipRightTrim2Sided,18
8297,concreteShapes:wedgeNarrowBottomTrimRight,6
8968,concreteShapes:roadPaintDash,18
8971,concreteShapes:roadPaintDiagonal,2
8972,concreteShapes:roadPaintDashDiagonalFiller,1
8974,concreteShapes:roadPaint4mDiagonalLeft01,3
8981,concreteShapes:roadPaint4mDiagonalRight02,3
8985,concreteShapes:roadPaint4mDiagonalRight06,2
9002,concreteShapes:roadPaintWedgeTip,3
9003,concreteShapes:roadPaintWedgeTip2,3
9004,concreteShapes:roadPaintWedge2,3
13579,corrugatedMetalShapes:cube,2
18840,motionsensorRightPOI,2
19026,lightCeiling07,4
19027,lightCeiling07_2x2,16
23033,signRoadSlow,2
