id,name,count
4561,concreteShapes:cube,8
5995,steelShapes:cube,5
6015,steelShapes:cubeQuarterPlateCorner,1
6032,steelShapes:pole,14
6047,steelShapes:poleSquareDouble,14
6067,steelShapes:poleSquareCornerRound,2
6074,steelShapes:plate,2
6097,steelShapes:plateCornerHalfTwoWallHalfRight,2
6149,steelShapes:pillar50,7
6173,steelShapes:pillar0.05Centered,7
6177,steelShapes:pillar0.05Double,8
6191,steelShapes:pipeJoint,2
6339,steelShapes:archCurveWall,2
6341,steelShapes:cornerRound,2
6593,steelShapes:plateWedge60Filler,2
6732,steelShapes:catwalkV2RailOnly,16
6962,steelShapes:cubeTrimQuarterEdgeDouble,6
6970,steelShapes:cubeTrimQuarterEdgeRound,4
7280,steelShapes:cupboardCorner,2
8900,corrugatedMetalShapes:pole,6
8922,corrugatedMetalShapes:poleSquareTipLeft,1
8923,corrugatedMetalShapes:poleSquareTipRight,1
12540,controlPanelBase02White,1
14385,glassBulletproofPlateCurved,1
