id,name,count
368,woodShapes:polePlateCentered,4
447,woodShapes:billboard,1
1830,woodShapes:windowStoreFourSidedEmpty,1
1927,woodShapes:windowPlateRoundedSquare2SidedEmpty,1
1928,woodShapes:windowPlateRoundedSquare3SidedEmpty,1
2223,woodShapes:counterHollowCombo,1
2225,woodShapes:plateCounter02,5
2235,woodShapes:cubeBookcase,4
2236,woodShapes:cubeCornerBeveledBookcaseEmpty,2
2244,woodShapes:bookcaseHalfEmpty,2
2245,woodShapes:bookcaseHalfEmptyOffset,1
2248,woodShapes:bookcaseQuarterDoubleEmpty,4
2249,woodShapes:bookcaseQuarterDoubleEmptyOffset,1
13699,corrugatedMetalShapes:cube,1
13702,corrugatedMetalShapes:cubeThreeQuarter,1
13714,corrugatedMetalShapes:cubeHalf,7
13721,corrugatedMetalShapes:cube0.25m,6
13722,corrugatedMetalShapes:cubeCornerBeveled,3
13735,corrugatedMetalShapes:cubeQuarterPlateCorner,4
13759,corrugatedMetalShapes:poleHalf,2
13802,corrugatedMetalShapes:polePlateHalf,9
13823,corrugatedMetalShapes:plate,30
13853,corrugatedMetalShapes:plateHalf,18
13857,corrugatedMetalShapes:plateCornerBeveled,2
13858,corrugatedMetalShapes:plateHalfTriangle,4
13860,corrugatedMetalShapes:plateQuarterTriangleCorner,2
13862,corrugatedMetalShapes:poleCornerCubePlate2,3
13867,corrugatedMetalShapes:platePoleCorner,3
13868,corrugatedMetalShapes:platePoleCorner2,21
13902,corrugatedMetalShapes:quarterPillar1m,3
13903,corrugatedMetalShapes:plateQuarterRoundCorner,2
13938,corrugatedMetalShapes:pillar0.025Centered,1
14306,corrugatedMetalShapes:wedgeNarrowLow,4
14439,corrugatedMetalShapes:rampInclineFiller,2
14452,corrugatedMetalShapes:plateDiagonal,3
14464,corrugatedMetalShapes:plateRamp,18
14470,corrugatedMetalShapes:plateRampCornerOutside,4
14621,corrugatedMetalShapes:rampInclineFillerPillar0.025,1
14791,corrugatedMetalShapes:halfBaseboard,2
14846,corrugatedMetalShapes:halfTrimSplitOffset,1
15103,corrugatedMetalShapes:plateQuarterCornerTrimLeftInside,1
15270,corrugatedMetalShapes:windowStoreFourSidedEmpty,1
15284,corrugatedMetalShapes:windowRampTwoSidedFull,3
15333,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,3
15337,corrugatedMetalShapes:windowPlateRoundedSquareHalf3SidedFull,4
15339,corrugatedMetalShapes:windowPlateRoundedSquare2SidedFull,2
15340,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,2
15341,corrugatedMetalShapes:windowPlateRoundedSquare4SidedFull,2
15344,corrugatedMetalShapes:windowPlateTwoSidedTriangleLeftFull,1
15345,corrugatedMetalShapes:windowPlateTwoSidedTriangleRightFull,1
15368,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
15369,corrugatedMetalShapes:windowPlateRoundedSquare4SidedEmpty,1
15658,corrugatedMetalShapes:buffetCounter,2
15706,corrugatedMetalShapes:verticalBlindsBottomOpen,3
15867,corrugatedMetalShapes:plateFacade01,2
15868,corrugatedMetalShapes:plateFacadeCap01,4
15869,corrugatedMetalShapes:plateFacadeTile01,8
18540,cntCabinetGraniteSinkHoleRound,1
18541,cntCupboardCabinetRedTopLootHelper,2
18544,cntCupboardCornerCNRRed,1
18545,cntCupboardCabinetFullRedTopClosed,1
18563,cntCounterHollowCabinetTaupeRandomLootHelper,1
18565,sinkKitchen,1
18569,counterMountedSinkCommercialOffset,1
18575,showerHead02,1
18576,showerHandle01,1
18583,cntToilet03,1
18598,cntMedicineCabinetClosed,1
18823,cntSportsBag01RandomLootHelper,2
19020,cntFridgeStainlessSteelRandomLootHelper,1
19040,cntgasRangeBlack,1
19051,cntwallOvenGreyRandomLootHelper,1
19095,cntMicrowaveRandomLootHelper,1
19145,tvExtraSmallWall1x1,1
19189,recessedLight,2
19297,tableLampLight01White,1
19306,tableLampLight01Black,1
19907,calendar2034,1
20031,decoCarWheelOffset02,4
20042,goreBlockHumanCorpse1,1
20649,closetDoorBrown,1
20789,trailerDoorOrange,1
21140,curtainDrapesLeftHalfBottomGrey,1
21173,curtainDrapesRightHalfBottomGrey,2
21829,couchModernCornerWhite,2
21830,couchModernSectionWhite,1
22004,bedMadeNoFrameBrown,2
22568,cntBookPile03AirRandomLootHelper,1
22639,restaurantBoothWhite,2
22685,restaurantTableEnd,1
23807,cntMinivan3Wide01RandomHelper,1
24281,sleeperIdle,2
