id,name,count
309,woodShapes:poleSideCentered,2
326,woodShapes:poleSquareSideCenteredBracketDouble,2
875,woodShapes:gablePlateHalf,2
876,woodShapes:gablePlateEnd,2
949,woodShapes:plateWedge60Tip,2
950,woodShapes:plateWedge60TipHalfLeft,2
951,woodShapes:plateWedge60TipHalfRight,2
959,woodShapes:plateWedge60Filler,6
960,woodShapes:plateWedge60FillerHalfLeft,2
961,woodShapes:plateWedge60FillerHalfRight,2
964,woodShapes:plateWedge60TipWallLeft,2
965,woodShapes:plateWedge60TipWallRight,2
1062,woodShapes:gablePlatePillar0.025,1
6065,concreteShapes:3mTubeCenter,4
6066,concreteShapes:3mTubeCorner,4
18290,modularRopeTopTied,1
19599,woodHatch,1
