id,name,count
2,terrainFiller,16
16,terrGravel,24
259,woodShapes:cube,30
16898,cntWeaponsBagLarge,1
16922,cntFoodPileSmallCornerRandomHelper,1
17098,cntMedicineCabinetClosedRandomLootHelper,1
17245,cntCoolerRandomLootHelper,1
17279,cntLuggageMediumClosed,1
17578,radioHam,1
17677,lanternDecorLightRed,1
17816,tentBiohazardCapLeftWhite,2
17834,tentBiohazardCapRightWhite,2
17858,tentBiohazardWallWindowBlue,2
17903,tentBiohazardWallThinBlue,3
17930,tentBiohazardRoofBlue,2
17939,tentBiohazardRoofThinBlue,4
18005,tentBiohazardWire01,4
18290,calendar2034,1
18413,goreBlockHumanBones,1
18478,palletBrownBoxesTop,2
18516,palletTarpBaseGreen,1
19833,chairFoldingMetalFoldedFallenWhite,1
19851,chairCampingGreen,1
19973,cntWaterCoolerBottle,1
20014,bedrollPOI,1
20015,bedrollArmyGreenPOI,1
20341,cntShelvesMetalEmpty,1
20422,cntStoreElectronicsBookShelfSpeaker,1
20455,cntClothesPileFloor01,1
20652,restaurantTableEnd,4
22135,sleeperSit,1
22136,sleeperBack,1
