id,name,count
2,terrainFiller,244
262,woodShapes:cubeThreeQuarter,2
383,woodShapes:plate,2
395,woodShapes:plateCorner,3
447,woodShapes:billboard,2
1253,woodShapes:railingFloatLeft,1
1399,woodShapes:counterBottomFiller,2
1932,woodShapes:windowPlateRoundedSquare1SidedEmpty,3
2229,woodShapes:counterHollowCombo,1
2231,woodShapes:plateCounter02,5
2241,woodShapes:cubeBookcase,2
13735,corrugatedMetalShapes:cube,6
13750,corrugatedMetalShapes:cubeHalf,13
13758,corrugatedMetalShapes:cubeCornerBeveled,6
13771,corrugatedMetalShapes:cubeQuarterPlateCorner,6
13792,corrugatedMetalShapes:pole,2
13795,corrugatedMetalShapes:poleHalf,2
13836,corrugatedMetalShapes:catwalkPlate,6
13838,corrugatedMetalShapes:polePlateHalf,1
13840,corrugatedMetalShapes:polePlateHalfOffCentered,6
13843,corrugatedMetalShapes:polePlate,1
13845,corrugatedMetalShapes:polePlateOffCentered,20
13848,corrugatedMetalShapes:polePlateCenteredTee,1
13859,corrugatedMetalShapes:plate,4
13861,corrugatedMetalShapes:plateOffCentered,1
13871,corrugatedMetalShapes:plateCorner,1
13878,corrugatedMetalShapes:plateCornerHalfTopHalfOffset,3
13879,corrugatedMetalShapes:plateCornerTwoWall,2
13889,corrugatedMetalShapes:plateHalf,3
13892,corrugatedMetalShapes:plateQuarter,2
13893,corrugatedMetalShapes:plateCornerBeveled,2
13894,corrugatedMetalShapes:plateHalfTriangle,2
13898,corrugatedMetalShapes:poleCornerCubePlate2,2
13904,corrugatedMetalShapes:platePoleCorner2,14
13923,corrugatedMetalShapes:billboard,1
13938,corrugatedMetalShapes:quarterPillar1m,1
13970,corrugatedMetalShapes:pillar0.0125Centered,2
13977,corrugatedMetalShapes:pillar0.025MiddleHalf,1
13978,corrugatedMetalShapes:pillar0.025Double,2
13984,corrugatedMetalShapes:pillar0.05CenteredHalf,1
14018,corrugatedMetalShapes:pillar50x25x50Tee,1
