id,name,count
2,terrainFiller,197402
16,terrGravel,418
17,terrAsphalt,4664
2490,brickShapes:cube,8
2506,brickShapes:cubeHalfCentered,21
3623,brickShapes:cubeTrimHalfSplit4Sided,2
4270,brickShapes:brickHalfCenteredDestroyed01,4
4271,brickShapes:brickHalfCenteredDestroyed02,2
4272,brickShapes:brickHalfCenteredDestroyed03,2
4273,brickShapes:brickHalfCenteredDestroyed04,2
6952,concreteShapes:cube,24
6967,concreteShapes:cubeHalf,8
6968,concreteShapes:cubeHalfCentered,18
7009,concreteShapes:pole,120
7038,concreteShapes:cubePoleCorner,1
7067,concreteShapes:poleSquareCornerRound,13
7076,concreteShapes:plate,300
7111,concreteShapes:plateHalfTriangle,12
7140,concreteShapes:billboard,38
7381,concreteShapes:plateRound,20
7715,concreteShapes:plateRamp,21
8999,concreteShapes:plateSidewalkCrooked,24
9000,concreteShapes:plateSidewalkBroke01,12
9001,concreteShapes:plateSidewalkBroke02,22
9002,concreteShapes:plateSidewalkBroke03,25
9003,concreteShapes:plateSidewalkBroke04,1
9006,concreteShapes:roadPaintDash,466
9007,concreteShapes:roadPaintDashCNTR,230
9009,concreteShapes:roadPaintDiagonal,13
9010,concreteShapes:roadPaintDashDiagonalFiller,28
9026,concreteShapes:roadPaintArrowStraight,3
9027,concreteShapes:roadPaintArrowLeft,1
9029,concreteShapes:roadPaintArrowLeftStraight,1
13702,corrugatedMetalShapes:pole,12
13731,corrugatedMetalShapes:cubePoleCorner,8
13853,corrugatedMetalShapes:pillar50,59
13867,corrugatedMetalShapes:pillar50CenterPlate,9
13925,corrugatedMetalShapes:pillar25,10
13926,corrugatedMetalShapes:pillar25x25x25Tee,3
13927,corrugatedMetalShapes:pillar50x25x50Tee,9
14645,corrugatedMetalShapes:catwalkV2,4
18661,cntDumpster,1
18755,woodPoleUtilitySupport,2
18756,woodPillar375,8
18757,woodPillar375UtilityTop,1
18759,utilityTransformerHanging,1
18760,utilityInsulator,2
19256,streetLight01,5
19257,streetLight02,2
19278,signTrafficLightOffset,3
19279,signCrosswalk,6
19739,guardRailStraight,10
19740,guardRailPole,4
19741,guardRailBarrierFlipped,2
19742,guardRailBarrier,2
20962,glassBusinessSheet,4
22049,decoMetalBollard,2
22051,parkingBlock,8
22052,parkingBlockCrooked1,2
22053,parkingBlockCrooked2,2
22054,parkingBlockBroken,1
22055,parkingBlockWhite,5
22056,parkingBlockCrooked1White,2
22057,parkingBlockCrooked2White,1
22058,parkingBlockBrokenWhite,1
22059,parkingBlockYellow,6
22060,parkingBlockCrooked1Yellow,2
22061,parkingBlockCrooked2Yellow,3
22062,parkingBlockBrokenYellow,2
22069,cntPostMailbox,2
22070,cntNewsDispenseFreeGreen,1
22071,cntNewsDispenseFreeOrange,1
22072,cntNewspaperDispenserStandBlue,1
22073,cntNewspaperDispenserStandYellow,1
23132,signRoadSpeed35,1
23161,signCrossWalkYellow,1
23164,signNoParking,1
23166,signTowAway,2
23265,signMegaCrushAd,1
23722,cntServiceTruckMoPower,1
23795,cntSedan01AirRandomHelper,2
23796,cntMinivan01AirRandomHelper,1
23797,cntSUV01AirRandomHelper,2
23800,cntPoliceCar01AirRandomHelper,1
23890,treePlainsTree2,6
23931,treeSmallRandomHelper,3
23933,treeMediumRandomHelper,2
