id,name,count
2,terrainFiller,145439
16,terrGravel,931
17,terrAsphalt,6002
2317,brickShapes:cube,15
2333,brickShapes:cubeHalfCentered,27
3386,brickShapes:cubeTrimHalfSplit4Sided,12
3945,brickShapes:brickHalfCenteredDestroyed01,9
3946,brickShapes:brickHalfCenteredDestroyed02,10
3947,brickShapes:brickHalfCenteredDestroyed03,6
6433,concreteShapes:cube,2370
6448,concreteShapes:cubeHalf,124
6449,concreteShapes:cubeHalfCentered,49
6484,concreteShapes:pole,119
6490,concreteShapes:poleTwoWayCorner,2
6540,concreteShapes:poleSquareCornerRound,18
6549,concreteShapes:plate,607
6584,concreteShapes:plateHalfTriangle,38
6613,concreteShapes:billboard,48
6621,concreteShapes:pillar100,1
6712,concreteShapes:3mTunnelCenter,92
6716,concreteShapes:3mTunnelCorner,92
6825,concreteShapes:arch,82
6830,concreteShapes:archRampTop,34
6831,concreteShapes:archRampBottom,90
6832,concreteShapes:arch3m,31
6833,concreteShapes:arch3mTip,34
6834,concreteShapes:arch3mMiddle,17
6852,concreteShapes:plateRound,8
6868,concreteShapes:ramp,34
6884,concreteShapes:rampCorner,3
6885,concreteShapes:rampCornerFiller,3
6902,concreteShapes:wedge60,153
6903,concreteShapes:wedge60Tip,35
6909,concreteShapes:wedge60Corner,2
6934,concreteShapes:wedge60SlopeBase,2
7018,concreteShapes:wedgeNarrowLow,22
7174,concreteShapes:plateRamp,88
7175,concreteShapes:plateRampCorner,14
7310,concreteShapes:stairsFilledQuarterVerticalUV,2
7573,concreteShapes:cubeTrimQuarterEdge,19
7574,concreteShapes:cubeHalfTrimQuarterEdgeBottom,40
7575,concreteShapes:halfTrimQuarterEdge,12
7604,concreteShapes:cubeTrimQuarterCornerOutside,8
7608,concreteShapes:cubeTrimQuarterCornerInside,1
7621,concreteShapes:cubeTrimQuarterCornerInsideTriangle,22
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,105
7689,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,2
7695,concreteShapes:cubeTrimQuarterEdgeDouble,12
7722,concreteShapes:cubeTrimQuarterRamp,58
7746,concreteShapes:archQuarterTrim,6
7747,concreteShapes:archQuarterTrimTwoSided,6
7749,concreteShapes:cubeArchQuarterTrim,12
8325,concreteShapes:plateSidewalkCrooked,49
8326,concreteShapes:plateSidewalkBroke01,29
8327,concreteShapes:plateSidewalkBroke02,29
8328,concreteShapes:plateSidewalkBroke03,35
8329,concreteShapes:plateSidewalkBroke04,8
8332,concreteShapes:roadPaintDash,433
8333,concreteShapes:roadPaintDashCNTR,170
8335,concreteShapes:roadPaintDiagonal,19
