id,name,count
2,terrainFiller,143330
15,terrGravel,812
16,terrAsphalt,7498
2265,brickShapes:cube,30
2281,brickShapes:cubeHalfCentered,158
3325,brickShapes:cubeTrimHalfSplit4Sided,22
3852,brickShapes:brickDestroyed02,1
3856,brickShapes:brickHalfCenteredDestroyed01,18
3857,brickShapes:brickHalfCenteredDestroyed02,16
3858,brickShapes:brickHalfCenteredDestroyed03,10
3859,brickShapes:brickHalfCenteredDestroyed04,2
3864,brickShapes:brickHalfDestroyed05,1
6277,concreteShapes:cube,1325
6292,concreteShapes:cubeHalf,90
6293,concreteShapes:cubeHalfCentered,77
6309,concreteShapes:cubeQuarter,4
6328,concreteShapes:pole,94
6384,concreteShapes:poleSquareCornerRound,14
6393,concreteShapes:plate,648
6427,concreteShapes:plateHalfTriangle,32
6456,concreteShapes:billboard,24
6668,concreteShapes:arch,144
6673,concreteShapes:archRampTop,4
6674,concreteShapes:archRampBottom,4
6695,concreteShapes:plateRound,52
6744,concreteShapes:wedge60,65
6745,concreteShapes:wedge60Tip,14
6751,concreteShapes:wedge60Corner,4
6753,concreteShapes:wedge60InsideCorner2,12
6754,concreteShapes:wedge60InsideCorner,4
6858,concreteShapes:wedgeNarrowHigh,8
6859,concreteShapes:wedgeNarrowMid,8
6860,concreteShapes:wedgeNarrowLow,8
6861,concreteShapes:wedgeNarrowTip,8
7016,concreteShapes:plateRamp,14
7152,concreteShapes:stairsFilledQuarterVerticalUV,8
7341,concreteShapes:halfTrimSplit,2
7408,concreteShapes:cubeTrimQuarterEdge,132
7439,concreteShapes:cubeTrimQuarterCornerOutside,64
7443,concreteShapes:cubeTrimQuarterCornerInside,8
7518,concreteShapes:cubeTrimQuarterEdgeTwoSided,52
7532,concreteShapes:cubeTrimCornerRound,8
7554,concreteShapes:cubeTrimQuarterRamp,4
7904,concreteShapes:concreteDestroyed05,1
7905,concreteShapes:concreteDestroyed06,2
7906,concreteShapes:concreteDestroyed07,2
8119,concreteShapes:plateSidewalkCrooked,42
8120,concreteShapes:plateSidewalkBroke01,38
8121,concreteShapes:plateSidewalkBroke02,36
8122,concreteShapes:plateSidewalkBroke03,43
8123,concreteShapes:plateSidewalkBroke04,11
8130,concreteShapes:roadPaintDash,894
8131,concreteShapes:roadPaintDashCNTR,398
8133,concreteShapes:roadPaintDiagonal,27
8134,concreteShapes:roadPaintDashDiagonalFiller,57
8135,concreteShapes:roadPaintDashDiagonalDouble,4
8140,concreteShapes:roadPaintArrowRight,3
8143,concreteShapes:roadPaintDashWedgeNarrowTip,2
8144,concreteShapes:roadPaintDashWedgeNarrowLow,4
8145,concreteShapes:roadPaintDashWedgeNarrowMid,2
8146,concreteShapes:roadPaintDashWedgeNarrowHigh,2
8147,concreteShapes:roadPaintDashWedgeNarrowTip2,2
8148,concreteShapes:roadPaintDashWedgeNarrowLow2,2
8149,concreteShapes:roadPaintDashWedgeNarrowMid2,2
8150,concreteShapes:roadPaintDashWedgeNarrowHigh2,2
8151,concreteShapes:roadPaintWedge,2
8283,steelShapes:cube,44
10023,steelShapes:securityGatePlate,4
12310,corrugatedMetalShapes:cubeHalf,28
12346,corrugatedMetalShapes:pole,94
12373,corrugatedMetalShapes:cubePoleCorner,36
12494,corrugatedMetalShapes:pillar50,92
12508,corrugatedMetalShapes:pillar50CenterPlate,7
12526,corrugatedMetalShapes:pillar0.025Middle,6
12551,corrugatedMetalShapes:pipeStraight,31
12553,corrugatedMetalShapes:pipeJoint,4
12554,corrugatedMetalShapes:pipeFlange,3
12555,corrugatedMetalShapes:pipeCorner,12
12878,corrugatedMetalShapes:wedgeNarrowLow,14
13233,corrugatedMetalShapes:catwalkV2,12
13698,corrugatedMetalShapes:windowStoreOneSidedFull,6
13702,corrugatedMetalShapes:windowStoreCornerFull,12
13704,corrugatedMetalShapes:windowStoreOneSidedBroken,10
13708,corrugatedMetalShapes:windowStoreCornerBroken,20
16551,cntWeaponsBagSmall,1
16558,cntAmmoPileSmall,1
16797,cntTrashPile03,1
16806,garbage_decor3,1
16860,cntFancyGarbageCan,2
16870,cntDumpster,2
16948,cntBagsRandomLootHelper,1
17329,lightPanelLEDGrey,4
17346,lightIndustrialMountedWallRed,2
17463,streetLight01,10
17464,streetLight02,1
17904,guardRailStraight,4
17905,guardRailPole,2
17906,guardRailBarrierFlipped,1
17907,guardRailBarrier,1
17926,woodFenceSheet,18
18097,goreBlockHumanCorpse3,1
19088,manholeHatch,1
19142,glassBusinessSheet,12
19791,parkBenchA,4
20003,concretePlateRound13mLeft01,3
20004,concretePlateRound13mLeft02,2
20005,concretePlateRound13mLeft03,2
20006,concretePlateRound13mLeft04,2
20007,concretePlateRound13mLeft05,2
20008,concretePlateRound13mLeft06,2
20009,concretePlateRound13mLeft07,2
20010,concretePlateRound13mLeft08,2
20011,concretePlateRound13mLeft09,2
20012,concretePlateRound13mLeft10,2
20013,concretePlateRound13mLeft11,2
20014,concretePlateRound13mLeft12,2
20015,concretePlateRound13mLeft13,2
20016,concretePlateRound13mLeft14,2
20017,concretePlateRound13mLeft15,2
20018,concretePlateRound13mLeft16,3
20019,concretePlateRound13mLeft17,3
20020,concretePlateRound13mLeft18,3
20021,concretePlateRound13mLeft19,3
20022,concretePlateRound13mLeft20,3
20023,concretePlateRound13mLeft21,3
20024,concretePlateRound13mCenter01,3
20025,concretePlateRound13mCenter02,3
20026,concretePlateRound13mRight01,3
20027,concretePlateRound13mRight02,2
20028,concretePlateRound13mRight03,2
20029,concretePlateRound13mRight04,2
20030,concretePlateRound13mRight05,2
20031,concretePlateRound13mRight06,2
20032,concretePlateRound13mRight07,2
20033,concretePlateRound13mRight08,2
20034,concretePlateRound13mRight09,2
20035,concretePlateRound13mRight10,2
20036,concretePlateRound13mRight11,2
20037,concretePlateRound13mRight12,2
20038,concretePlateRound13mRight13,2
20039,concretePlateRound13mRight14,2
20040,concretePlateRound13mRight15,2
20041,concretePlateRound13mRight16,2
20042,concretePlateRound13mRight17,3
20043,concretePlateRound13mRight18,3
20044,concretePlateRound13mRight19,3
20045,concretePlateRound13mRight20,3
20046,concretePlateRound13mRight21,3
20056,parkingBlock,3
20057,parkingBlockCrooked1,3
20058,parkingBlockCrooked2,2
20059,parkingBlockBroken,2
20060,parkingBlockWhite,4
20061,parkingBlockCrooked1White,1
20062,parkingBlockCrooked2White,1
20063,parkingBlockBrokenWhite,1
20064,parkingBlockYellow,31
20065,parkingBlockCrooked1Yellow,5
20066,parkingBlockCrooked2Yellow,6
20067,parkingBlockBrokenYellow,3
20074,cntPostMailbox,2
20633,ladderSteel,5
20872,metalPipeValve,1
21047,fireHydrant,2
21094,signRoadStop,3
21200,signPosterWantedMissing01,2
21201,signPosterWantedMissing02,6
21202,signPosterWantedMissing03,3
21205,signBookSaleAd,1
21208,signCigaretteAd,2
21213,signMegaCrushAd,1
21226,signPosterMovieTheater2159,2
21227,signPosterMovieTheaterLoneWolf,2
21228,signPosterMovieTheaterMammasJustice,1
21229,signPosterMovieTheaterSexualTension,2
21345,fakeCabinetDoorTrap1x2SheetMetal,21
21653,cntAmbulanceTruck01,1
21702,cntSedan01AirRandomHelper,2
21703,cntMinivan01AirRandomHelper,2
21704,cntSUV01AirRandomHelper,1
21707,cntPoliceCar01AirRandomHelper,1
21708,cntFireTruck01AirRandomHelper,1
21773,treeDeadTree01,3
21774,treeDeadTree02,2
21775,treePlainsTree2,7
21816,treeSmallRandomHelper,3
21818,treeMediumRandomHelper,4
21828,treeBrownGrassDiagonal,4
21833,treeGreenBrownGrassDiagonal,5
21835,plantedtreeGrassSeed1,3
21926,cntStoreCratesRandomLootHelper,1
21947,sleeperIdle,20
