id,name,count
2,terrainFiller,228686
5,terrDirt,23
14,terrDestroyedStone,53
16,terrGravel,1039
17,terrAsphalt,8340
2523,brickShapes:cube,163
2538,brickShapes:cubeHalf,38
2539,brickShapes:cubeHalfCentered,30
3618,brickShapes:halfCornerBaseboard4Sided,2
3629,brickShapes:halfBaseboard4Sided,9
3674,brickShapes:cubeTrimHalfSplit4Sided,9
3680,brickShapes:halfTrimSplit2,23
3687,brickShapes:cubeHalfCornerTrimHalfCornerInside,2
3689,brickShapes:cubeHalfCornerTrimHalfEdge,4
3693,brickShapes:cubeHalfTrimCornerQuarter2,2
3855,brickShapes:cubeTrimQuarterEdgeTwoSided,5
3939,brickShapes:archQuarterTrimTwoSided,2
3941,brickShapes:cubeArchQuarterTrim,4
4328,brickShapes:brickDestroyed01,2
4329,brickShapes:brickDestroyed02,2
4330,brickShapes:brickDestroyed03,2
4331,brickShapes:brickDestroyed04,2
4333,brickShapes:brickHalfCenteredDestroyed01,2
4334,brickShapes:brickHalfCenteredDestroyed02,2
4335,brickShapes:brickHalfCenteredDestroyed03,2
7051,concreteShapes:cube,4196
7054,concreteShapes:cubeThreeQuarter,4
7066,concreteShapes:cubeHalf,215
7080,concreteShapes:cubeCornerArch,2
7089,concreteShapes:cubeQuarter,1
7103,concreteShapes:cubeEighth,2
7107,concreteShapes:cubeHalfPoleCentered,1
7108,concreteShapes:pole,43
7114,concreteShapes:poleTwoWayCorner,21
7171,concreteShapes:cubeHalfPlateCorner,1
7175,concreteShapes:plate,792
7210,concreteShapes:plateHalfTriangle,54
7214,concreteShapes:poleCornerCubePlate2,2
7220,concreteShapes:platePoleCorner2,6
7239,concreteShapes:billboard,64
7282,concreteShapes:cubeHalfBottomPole1mTop,1
7342,concreteShapes:3mTunnelCenter,282
7344,concreteShapes:3mTunnelCenterCross,2
7345,concreteShapes:3mTunnelCenterTee,5
7346,concreteShapes:3mTunnelCorner,260
7347,concreteShapes:3mTunnelInsideCorner,20
