id,name,count
2,terrainFiller,82826
5,terrDirt,155
16,terrGravel,1602
17,terrAsphalt,4793
29,terrStoneHelper,6
1746,woodShapes:windowTrim,3
2538,brickShapes:cubeHalf,58
2561,brickShapes:cubeQuarter,12
4337,brickShapes:brickHalfDestroyed01,1
4338,brickShapes:brickHalfDestroyed02,1
4342,brickShapes:brickHalfDestroyed06,1
4343,brickShapes:brickHalfDestroyed07,1
7051,concreteShapes:cube,612
7108,concreteShapes:pole,190
7166,concreteShapes:poleSquareCornerRound,20
7175,concreteShapes:plate,1033
7208,concreteShapes:plateQuarter,10
7210,concreteShapes:plateHalfTriangle,93
7239,concreteShapes:billboard,71
7482,concreteShapes:plateRound,26
7823,concreteShapes:plateRamp,64
7824,concreteShapes:plateRampCorner,9
7829,concreteShapes:plateRampCornerOutside,5
8217,concreteShapes:cubeHalfCornerTrimHalfEdge,8
9131,concreteShapes:plateSidewalkCrooked,9
9132,concreteShapes:plateSidewalkBroke01,9
9133,concreteShapes:plateSidewalkBroke02,9
9134,concreteShapes:plateSidewalkBroke03,5
9138,concreteShapes:roadPaintDash,624
9139,concreteShapes:roadPaintDashCNTR,240
9141,concreteShapes:roadPaintDiagonal,25
9142,concreteShapes:roadPaintDashDiagonalFiller,26
9159,concreteShapes:roadPaintArrowLeft,2
9160,concreteShapes:roadPaintArrowRight,2
13858,corrugatedMetalShapes:cubeHalf,23
13900,corrugatedMetalShapes:pole,49
13929,corrugatedMetalShapes:cubePoleCorner,18
13967,corrugatedMetalShapes:plate,45
13979,corrugatedMetalShapes:plateCorner,3
13997,corrugatedMetalShapes:plateHalf,22
14052,corrugatedMetalShapes:pillar50,57
14066,corrugatedMetalShapes:pillar50CenterPlate,2
14081,corrugatedMetalShapes:pillar0.025,10
14085,corrugatedMetalShapes:pillar0.025Middle,3
14090,corrugatedMetalShapes:pillar0.05,4
14094,corrugatedMetalShapes:pillar0.05Middle,2
14125,corrugatedMetalShapes:pillar25,12
14126,corrugatedMetalShapes:pillar25x25x25Tee,3
14127,corrugatedMetalShapes:pillar50x25x50Tee,9
14457,corrugatedMetalShapes:wedgeNarrowLow,7
14855,corrugatedMetalShapes:catwalkV2,8
14895,corrugatedMetalShapes:catwalkV2RailOnly,6
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,2
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,2
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
14913,corrugatedMetalShapes:ladderRails,4
14998,corrugatedMetalShapes:halfTrimSplit,5
15266,corrugatedMetalShapes:plateTrimSplitInside,4
15403,corrugatedMetalShapes:windowStoreOneSidedFull,8
15407,corrugatedMetalShapes:windowStoreCornerFull,16
15418,corrugatedMetalShapes:windowStoreOneSidedBroken,2
15422,corrugatedMetalShapes:windowStoreCornerBroken,4
15849,corrugatedMetalShapes:bookcaseEmpty,6
15865,corrugatedMetalShapes:storageCubeHalf,2
15912,corrugatedMetalShapes:industrialFenceBottom,8
18725,cntCabinetBottomRandomLootHelper,2
18726,cntCabinetBottom,1
18733,cntCupboardCabinetRedTopLootHelper,4
18842,cntTrashBoxRandomLootHelper,4
18856,rubbishDecor01,1
18858,rubbishDecor03,1
18860,rubbishDecor05,1
18919,cntFancyGarbageCan,3
18933,cntDumpsterRandomLootHelper,2
18938,cntDumpsterFliesRandomLootHelper,1
19411,lightCeiling07,1
19417,lightPanelLEDWhite,2
19550,streetLight01,6
19556,streetLightClassic,1
19572,signTrafficLightOffset,3
19573,signCrosswalk,6
20033,guardRailStraight,8
20034,guardRailPole,2
20035,guardRailBarrierFlipped,1
20036,guardRailBarrier,1
20054,woodFenceSheet,9
20298,cntBirdnest,4
20384,palletBricksBaseRandomHelper,1
20420,palletEmptyStack,1
20425,metalPipeStack,1
20455,palletBagConcreteBaseMed,1
20987,commercialDoorV4Grey,1
21302,glassBusinessSheet,8
22140,parkBenchA,6
22486,parkingBlock,9
22487,parkingBlockCrooked1,5
22488,parkingBlockCrooked2,11
22489,parkingBlockBroken,12
22504,cntPostMailbox,1
22505,cntNewsDispenseFreeGreen,1
22506,cntNewsDispenseFreeOrange,1
22507,cntNewspaperDispenserStandBlue,1
22508,cntNewspaperDispenserStandYellow,1
22569,cntFreezerBeveragesStandaloneRandomLootHelper,1
22653,cntDisplayCaseEmptyLeft,1
22657,cntDisplayCaseEmptyRight,1
22671,cntGunRackSmallEmpty02,2
22801,cntBookShelfSingleCapBottomEmpty,2
22804,cntBookShelfSingleCapBottomRandomLootHelper,1
22834,cntCashRegisterRandomLootHelper,1
23421,rubblePileBricksSmall,2
23679,signRoadSpeed35,3
23709,signDoNotEnter,1
23802,signPosterWantedMissing02,3
23807,signBookSaleAd,1
23810,signCigaretteAd,3
23812,signMegaCrushAd,2
23884,signPosterMovieTheater2159,2
23886,signPosterMovieTheaterMammasJustice,1
23887,signPosterMovieTheaterSexualTension,1
23909,signCanvasWood0.75x0.75,1
24531,cntCar03SedanDamage0RandomHelper,4
24534,cntFrontCrumpledSedan01AirRandomHelper,1
24538,cntPickupTruck01AirRandomHelper,1
24544,cntBusShuttleRandomHelper,1
24572,shippingContainerDoorFrameOrange,1
24576,shippingContainerDoorLeftRotatedOrange,1
24578,shippingContainerDoorRightRotatedOrange,1
24579,shippingContainerSideOrange,7
24581,shippingContainerSideTextOrange,2
24583,shippingContainerCapOrange,1
24628,treeDeadTree01,4
24630,treePlainsTree2,12
24673,treeSmallRandomHelper,7
24675,treeMediumRandomHelper,3
24685,treeBrownGrassDiagonal,34
24689,treeForestGrassDiagonal,4
24785,farmPlotBlock,66
