id,name,count
2,terrainFiller,152166
5,terrDirt,137
8,terrBurntForestGround,33
16,terrGravel,1804
17,terrAsphalt,3198
310,woodShapes:pole,59
312,woodShapes:poleSideCentered,1
316,woodShapes:poleTwoWayCorner,8
317,woodShapes:poleThreeWayCorner,8
333,woodShapes:poleSquareDouble,8
375,woodShapes:plate,161
387,woodShapes:plateCorner,6
413,woodShapes:poleCornerCubePlate,2
419,woodShapes:platePoleCorner,41
420,woodShapes:platePoleCorner2,21
459,woodShapes:pillar50,34
529,woodShapes:pillar25,3
530,woodShapes:pillar25x25x25Tee,1
988,woodShapes:plateDiagonal,4
991,woodShapes:plateDiagonalFiller,2
1073,woodShapes:slopePlate03,3
1074,woodShapes:slopePlate04,3
1091,woodShapes:slopePlateLeft01,2
1093,woodShapes:slopePlateLeft02,2
1095,woodShapes:slopePlateLeft03,3
1096,woodShapes:slopePlateLeft04,3
1097,woodShapes:slopePlateRight01,2
1099,woodShapes:slopePlateRight02,2
1101,woodShapes:slopePlateRight03,3
1102,woodShapes:slopePlateRight04,3
1188,woodShapes:catwalkV1,12
1626,woodShapes:doorTrim0.5m,2
1628,woodShapes:doorTrim1m,8
1629,woodShapes:doorTrim1mOffCenter,3
1634,woodShapes:doorTrim2m,7
1636,woodShapes:doorTrimTwoSided,12
1695,woodShapes:windowStoreFourSidedBroken,2
1871,woodShapes:windowBoarded,55
1974,woodShapes:woodDebris01,1
1975,woodShapes:woodDebris02,1
1976,woodShapes:woodDebris03,1
2125,woodShapes:fence,13
2128,woodShapes:fenceBroken1,3
2129,woodShapes:fenceBroken2,6
6433,concreteShapes:cube,2
6484,concreteShapes:pole,2
6549,concreteShapes:plate,357
6613,concreteShapes:billboard,16
6621,concreteShapes:pillar100,3
6623,concreteShapes:pillar100Open,2
6647,concreteShapes:pillar50CenterPlate,2
6690,concreteShapes:pipeStraight,2
6691,concreteShapes:pipeStraightOpenEnded,4
6852,concreteShapes:plateRound,10
7174,concreteShapes:plateRamp,4
8325,concreteShapes:plateSidewalkCrooked,80
8326,concreteShapes:plateSidewalkBroke01,125
8327,concreteShapes:plateSidewalkBroke02,61
8329,concreteShapes:plateSidewalkBroke04,26
8332,concreteShapes:roadPaintDash,91
8335,concreteShapes:roadPaintDiagonal,4
12787,corrugatedMetalShapes:billboard,20
13419,corrugatedMetalShapes:slopePlate01,16
13420,corrugatedMetalShapes:slopePlate02,16
13421,corrugatedMetalShapes:slopePlate03,15
13422,corrugatedMetalShapes:slopePlate04,18
13680,corrugatedMetalShapes:halfTrimSplit,1
13928,corrugatedMetalShapes:plateTrimSplitInside,18
13976,corrugatedMetalShapes:doorTrim1m,12
14293,corrugatedMetalShapes:plateDiagonalDestroyed05,1
14295,corrugatedMetalShapes:plateWedge60InclineDestroyed,1
14297,corrugatedMetalShapes:plateWedge60TipDestroyed,2
14298,corrugatedMetalShapes:plateWedge60TipDestroyed02,3
14394,corrugatedMetalShapes:prepTableCornerLeft,1
14395,corrugatedMetalShapes:prepTableCornerRight,1
14401,corrugatedMetalShapes:cupboardAjar,1
16925,cntFoodPileSmall,1
17074,utilitySink,1
17154,cntTrashPile01,1
17155,cntTrashPile02,2
17156,cntTrashPile03,2
17163,garbage_decor1,1
17164,garbage_decor2,1
17229,cntBruteStyleTrashCanRandomLootHelper,1
17231,cntDumpsterFlies,2
17232,cntTiltTruckEmpty,1
17252,cntUtilityCartRandomLootHelper,1
17266,cntCoolerOpenGreen,1
17275,cntBackpack03,1
17308,cntBagsRandomLootHelper,1
17315,woodPoleUtilitySupport,4
17316,woodPillar375,16
17317,woodPillar375UtilityTop,2
17320,utilityInsulator,4
17506,cntRetroFridgeRandomLootHelper,1
17523,cntStoveOldVer2Open,2
17584,cntMicrowaveOvenVer2Open,1
17650,lightWallGooseneckGrey,1
17656,lightCeilingBulbMountWhite,3
17713,lanternDecorLightRed,1
17818,workLightPOI,1
17819,streetLight01,4
17852,burningBarrel,1
18210,chainlinkFenceDoor,1
18228,chainlinkFenceBottomPlain,16
18229,chainlinkFenceBottomPlainPoleLeft,9
18230,chainlinkFenceBottomPlainPoleRight,5
18232,chainlinkFenceTopPlainRail,16
18233,chainlinkFenceTopPlainPoleLeft,9
18234,chainlinkFenceTopPlainPoleRight,5
18261,guardRailStraight,24
18262,guardRailPole,23
18263,guardRailBarrierFlipped,5
18264,guardRailBarrier,5
18384,cntBarrelGasSingle00,1
18385,cntBarrelGasSingle45,1
18389,cntBarrelGenericSingle00,2
18390,cntBarrelGenericSingle45,1
18409,hubcapNoMine,1
18411,hubCapsHanging,1
18416,decoCarFrontBumperFlipped,1
18426,decoCarFenderFlipped,2
18427,decoCarHoodFlat,2
18433,decoCarPartsRamp,1
18434,decoCarTireSmallFlat,4
18435,decoCarTireFlat,1
18437,decoCarTireStack,1
18438,decoCarWheelFlat,1
18456,goreBlockHumanCorpse1,1
18459,goreBlockHumanCorpse3,1
18469,modularFireWoodStackA,2
18470,modularFireWoodStackB,3
18471,modularFireWoodStackC,3
18478,decoWildWestWagonWheelBack,1
18479,decoWildWestWagonWheelFront,1
18490,cinderBlocks01,1
18491,cinderBlocks02,1
18492,cinderBlocks03,1
18499,rockResource,1
18515,emberPileDeco3,1
18516,emberPileDeco4,4
18521,emberPileLightPOI1,1
18531,palletBrownBoxesTop,1
18538,palletBricksPartial2,1
18572,palletTarpBaseBlue,2
18592,palletCompressedCardboard,1
18594,palletEmpty,3
18595,palletEmptyStack,3
18861,oldWoodDoor,1
19065,tallCabinetDoorBlack,1
19772,cntArmoireTopBackBlack,1
19926,woodChair1,1
19984,chairCampingYellow,1
20019,couchUglySingleBlue,1
20118,wineBarrelPlain,2
20134,decoClassicDogHouse,1
20135,decoLargePetCage,1
20155,bedrollPOI,1
20184,bodyBagPair,1
20187,bodyBagBlackFlies,1
20317,cntRollingToolBoxRandomLootHelperRed,1
20322,concretePlateRound13mLeft01,4
20323,concretePlateRound13mLeft02,2
20324,concretePlateRound13mLeft03,2
20325,concretePlateRound13mLeft04,2
20326,concretePlateRound13mLeft05,2
20327,concretePlateRound13mLeft06,2
20328,concretePlateRound13mLeft07,2
20329,concretePlateRound13mLeft08,2
20330,concretePlateRound13mLeft09,2
20331,concretePlateRound13mLeft10,2
20332,concretePlateRound13mLeft11,2
20333,concretePlateRound13mLeft12,2
20334,concretePlateRound13mLeft13,2
20335,concretePlateRound13mLeft14,2
20336,concretePlateRound13mLeft15,2
20337,concretePlateRound13mLeft16,4
20338,concretePlateRound13mLeft17,4
20339,concretePlateRound13mLeft18,4
20340,concretePlateRound13mLeft19,4
20341,concretePlateRound13mLeft20,4
20342,concretePlateRound13mLeft21,4
20343,concretePlateRound13mCenter01,4
20344,concretePlateRound13mCenter02,4
20345,concretePlateRound13mRight01,3
20346,concretePlateRound13mRight02,2
20347,concretePlateRound13mRight03,2
20348,concretePlateRound13mRight04,2
20349,concretePlateRound13mRight05,2
20350,concretePlateRound13mRight06,2
20351,concretePlateRound13mRight07,2
20352,concretePlateRound13mRight08,2
20353,concretePlateRound13mRight09,2
20354,concretePlateRound13mRight10,2
20355,concretePlateRound13mRight11,2
20356,concretePlateRound13mRight12,2
20357,concretePlateRound13mRight13,2
20358,concretePlateRound13mRight14,2
20359,concretePlateRound13mRight15,2
20360,concretePlateRound13mRight16,3
20361,concretePlateRound13mRight17,3
20362,concretePlateRound13mRight18,3
20363,concretePlateRound13mRight19,4
20364,concretePlateRound13mRight20,4
20365,concretePlateRound13mRight21,4
20393,cntPostMailbox,1
20413,decoMannequinFemaleBroken,1
20467,cntStoreShelfSingleBottomHardwareRandomLootHelper,2
20470,cntStoreShelfSingleTopHardwareRandomLootHelper,2
21013,coneConstruction,3
21019,decoHandTruck,1
21170,rubblePileWoodLarge,1
21171,rubblePileWoodSmall,2
21172,rubblePileWoodBurntLarge,1
21173,rubblePileWoodBurntSmall,1
21214,pipeSmallWall1x1,2
21390,signRoadCoronado,1
21395,signRoadCourtlandBell,1
21396,signRoadCourtlandHuenink,1
21413,signRoadWork,1
21416,signRoadSlow,1
21423,signRoadStop,3
21448,signCrossWalkYellow,1
21449,signDoNotEnter,2
21543,signPosterWantedMissing01,1
21544,signPosterWantedMissing02,2
21545,signPosterWantedMissing03,1
21693,carWrecksRandomHelper,2
21991,cntBusSchoolShort,1
22042,cntCar03SedanDamage2RandomHelper,1
22046,cntPickupTruck01AirRandomHelper,1
22048,cntPoliceCar01AirRandomHelper,1
22109,treeDeadPineLeaf,2
22120,treeDeadTree01,2
22162,treeStumpPOI,1
22163,treeSmallRandomHelper,5
22165,treeMediumRandomHelper,2
22166,treeLargeRandomHelper,2
22287,sleeperSit,1
22291,sleeperStomach,2
22292,sleeperIdle,1
22302,sleeperZombieDogAnimal,1
