id,name,count
2,terrainFiller,107608
5,terrDirt,100
16,terrGravel,2298
17,terrAsphalt,2597
310,woodShapes:pole,32
375,woodShapes:plate,56
420,woodShapes:platePoleCorner2,18
459,woodShapes:pillar50,54
1188,woodShapes:catwalkV1,16
1869,woodShapes:windowBoarded,20
2123,woodShapes:fence,50
2126,woodShapes:fenceBroken1,4
2127,woodShapes:fenceBroken2,5
6549,concreteShapes:plate,276
6613,concreteShapes:billboard,12
6623,concreteShapes:pillar100Open,23
7174,concreteShapes:plateRamp,2
8321,concreteShapes:plateSidewalkCrooked,25
8322,concreteShapes:plateSidewalkBroke01,42
8323,concreteShapes:plateSidewalkBroke02,49
8324,concreteShapes:plateSidewalkBroke03,51
8325,concreteShapes:plateSidewalkBroke04,43
8332,concreteShapes:roadPaintDash,68
8335,concreteShapes:roadPaintDiagonal,3
12787,corrugatedMetalShapes:billboard,8
12839,corrugatedMetalShapes:pillar0.025Middle,8
13619,corrugatedMetalShapes:plateLocalNorthSouthFace,6
13620,corrugatedMetalShapes:plateHalfLocalNorthSouthFace,7
13974,corrugatedMetalShapes:doorTrim0.5m,2
13992,corrugatedMetalShapes:windowTrim,3
14323,corrugatedMetalShapes:shantywall01,5
14324,corrugatedMetalShapes:shantywall02,5
14325,corrugatedMetalShapes:shantywall03,7
14326,corrugatedMetalShapes:shantywall04,5
17154,cntTrashPile01,5
17155,cntTrashPile02,2
17156,cntTrashPile03,3
17158,cntTrashPile05,1
17160,cntTrashPile07,3
17163,garbage_decor1,10
17164,garbage_decor2,13
17231,cntDumpsterFlies,1
17232,cntTiltTruckEmpty,1
17315,woodPoleUtilitySupport,18
17316,woodPillar375,72
17317,woodPillar375UtilityTop,9
17319,utilityTransformerHanging,2
17320,utilityInsulator,18
17505,cntRetroFridgeVer2Open,2
17523,cntStoveOldVer2Open,1
17819,streetLight01,6
18218,chainlinkFenceBottomRailPoleCorner,1
18232,chainlinkFenceTopPlainRail,32
18233,chainlinkFenceTopPlainPoleLeft,8
18234,chainlinkFenceTopPlainPoleRight,6
18390,cntBarrelGenericSingle45,1
18434,decoCarTireSmallFlat,4
18435,decoCarTireFlat,4
18436,decoCarTirePile,3
18437,decoCarTireStack,2
18456,goreBlockHumanCorpse1,1
18490,cinderBlocks01,1
18491,cinderBlocks02,2
18492,cinderBlocks03,7
18499,rockResource,1
18629,palletBagConcreteCapSml,1
19850,cntDeskMetalEmptyBrown,2
19894,decoPicnicTable,2
20018,couchUglySingleBrown,1
20122,wineBarrelPlain,1
20168,mattressFlatThin,1
20169,mattressCurled,1
20327,concretePlateRound13mLeft01,2
20328,concretePlateRound13mLeft02,1
20329,concretePlateRound13mLeft03,1
20330,concretePlateRound13mLeft04,1
20331,concretePlateRound13mLeft05,1
20332,concretePlateRound13mLeft06,2
20333,concretePlateRound13mLeft07,2
20334,concretePlateRound13mLeft08,2
20335,concretePlateRound13mLeft09,2
20336,concretePlateRound13mLeft10,2
20337,concretePlateRound13mLeft11,2
20338,concretePlateRound13mLeft12,2
20339,concretePlateRound13mLeft13,2
20340,concretePlateRound13mLeft14,2
20341,concretePlateRound13mLeft15,2
20342,concretePlateRound13mLeft16,3
20343,concretePlateRound13mLeft17,3
20344,concretePlateRound13mLeft18,2
20345,concretePlateRound13mLeft19,3
20346,concretePlateRound13mLeft20,2
20347,concretePlateRound13mLeft21,2
20348,concretePlateRound13mCenter01,2
20349,concretePlateRound13mCenter02,2
20350,concretePlateRound13mRight01,2
20351,concretePlateRound13mRight02,1
20352,concretePlateRound13mRight03,2
20353,concretePlateRound13mRight04,2
20354,concretePlateRound13mRight05,2
20355,concretePlateRound13mRight06,2
20356,concretePlateRound13mRight07,2
20357,concretePlateRound13mRight08,2
20358,concretePlateRound13mRight09,2
20359,concretePlateRound13mRight10,2
20360,concretePlateRound13mRight11,2
20361,concretePlateRound13mRight12,2
20362,concretePlateRound13mRight13,2
20363,concretePlateRound13mRight14,2
20364,concretePlateRound13mRight15,1
20365,concretePlateRound13mRight16,2
20366,concretePlateRound13mRight17,3
20367,concretePlateRound13mRight18,2
20368,concretePlateRound13mRight19,2
20369,concretePlateRound13mRight20,3
20370,concretePlateRound13mRight21,2
21033,barrierConcrete,8
21179,rubblePileWoodSmall,1
21180,rubblePileWoodBurntLarge,1
21181,rubblePileWoodBurntSmall,2
21405,signRoadCourtlandMaple,1
21406,signRoadCourtlandTran,1
21431,signRoadStop,3
21552,signPosterWantedMissing02,2
21553,signPosterWantedMissing03,4
21701,carWrecksRandomHelper,1
22051,cntSedan01AirRandomHelper,2
22054,cntPickupTruck01AirRandomHelper,2
22056,cntPoliceCar01AirRandomHelper,1
22065,semiFlatbedBack,1
22072,semiFlatbedFront,2
22171,treeSmallRandomHelper,4
22173,treeMediumRandomHelper,4
