id,name,count
2,terrainFiller,85337
5,terrDirt,211
16,terrGravel,2418
17,terrAsphalt,2208
316,woodShapes:pole,26
467,woodShapes:pillar50,45
2125,woodShapes:woodDebris01,1
2238,woodShapes:bookcaseOpenEnded,6
2276,woodShapes:fence,75
2279,woodShapes:fenceBroken1,3
2280,woodShapes:fenceBroken2,3
6925,concreteShapes:cube,9
6930,concreteShapes:cube1mHoleFilled,4
7049,concreteShapes:plate,279
7113,concreteShapes:billboard,8
7123,concreteShapes:pillar100Open,4
7354,concreteShapes:plateRound,2
7688,concreteShapes:plateRamp,7
7689,concreteShapes:plateRampCorner,3
8969,concreteShapes:plateSidewalkCrooked,10
8970,concreteShapes:plateSidewalkBroke01,54
8971,concreteShapes:plateSidewalkBroke02,35
8972,concreteShapes:plateSidewalkBroke03,43
8973,concreteShapes:plateSidewalkBroke04,32
8976,concreteShapes:roadPaintDash,61
13606,corrugatedMetalShapes:cubeHalf,2
13648,corrugatedMetalShapes:pole,12
13677,corrugatedMetalShapes:cubePoleCorner,4
13715,corrugatedMetalShapes:plate,22
13759,corrugatedMetalShapes:platePoleCorner,6
13779,corrugatedMetalShapes:billboard,4
13832,corrugatedMetalShapes:pillar0.025Middle,4
14361,corrugatedMetalShapes:plateWedge60Left,1
14362,corrugatedMetalShapes:plateWedge60Right,1
14661,corrugatedMetalShapes:plateLocalNorthSouthFace,4
14662,corrugatedMetalShapes:plateHalfLocalNorthSouthFace,5
14982,corrugatedMetalShapes:plateTrimSplitInside,11
15030,corrugatedMetalShapes:doorTrim1m,14
15214,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,2
15460,corrugatedMetalShapes:shantywall01,5
15461,corrugatedMetalShapes:shantywall02,12
15462,corrugatedMetalShapes:shantywall03,5
15463,corrugatedMetalShapes:shantywall04,4
18495,cntTrashPile01,1
18496,cntTrashPile02,1
18498,cntTrashPile04,2
18501,cntTrashPile07,1
18513,newspaperDecor01,1
18517,rubbishDecor01,2
18520,rubbishDecor04,1
18521,rubbishDecor05,1
18526,rubbishDecor11,1
18593,cntDumpsterRandomLootHelper,1
18677,cntBagsRandomLootHelper,1
18683,woodPoleUtilitySupport,10
18684,woodPillar375,40
18685,woodPillar375UtilityTop,5
18688,utilityInsulator,10
18800,commercialDualMeter,1
18803,conduit01,1
18888,cntStoveOldVer2Open,1
18912,cntCharcoalGrillRandomLootHelper,1
19068,lightIndustrialMountedWall,1
19184,streetLight01,5
19216,burningBarrel,1
19620,chainlinkFencePole03,2
19638,chainlinkFenceTopPlainRail,58
19639,chainlinkFenceTopPlainPoleLeft,7
19640,chainlinkFenceTopPlainPoleRight,3
19641,chainlinkFenceTopPlainCorner,4
19667,guardRailStraight,32
19668,guardRailPole,22
19669,guardRailBarrierFlipped,8
19670,guardRailBarrier,8
19833,cntBarrelPlasticSingle45,1
19840,decoCarBackBumperUpright,1
19846,decoCarBackDoorFlat,1
19848,decoCarRadiatorFlat,1
19851,decoCarSeatFlipped,1
19861,decoCarTireSmallFlat,1
19863,decoCarTirePile,1
19866,decoCarTireSmallFlat02,2
19921,modularFireWoodStackB,2
19922,modularFireWoodStackC,1
19950,resourceRock01,1
20036,palletEmpty,1
20037,palletEmptyStack,2
20042,metalPipeStack,1
20043,metalPipeStackLoose,1
20544,commercialDoorV2Grey,1
21492,decoPicnicTable,1
21602,sectionalPlaidCouchSofaMiddle,1
21604,sectionalPlaidCouchSofaArm,2
21744,decoWineBottleCorner,1
21747,decoWineBottlePile02,1
21754,decoMetalSlide,1
21807,bodyBagBlackFlies,1
21888,cntToolBoxRandomLootHelperRed,1
21924,cntRollingToolBoxRandomLootHelperRed,1
21952,concretePlateRound13mRight01,1
21977,decoMetalBollard,1
22665,barrierConcrete,1
23013,fireHydrant,1
23037,signRoadCourtlandHuenink,1
23064,signRoadStop,2
23348,carsRandomHelper,1
23442,abandonedPickupTruck01DoorRandomHelper,1
23720,cntCar03SedanDamage1RandomHelper,1
23721,cntCar03SedanDamage2RandomHelper,3
23722,cntFrontCrumpledSedan01AirRandomHelper,1
23736,cntServiceTruckWorkingStiffToolsRandomLootHelper,1
23737,semiFlatbedBack,1
23744,semiFlatbedFront,1
23859,treeSmallRandomHelper,4
23861,treeMediumRandomHelper,6
23862,treeLargeRandomHelper,1
