id,name,count
2,terrainFiller,84915
5,terrDirt,90
16,terrGravel,1997
17,terrAsphalt,2781
310,woodShapes:pole,16
375,woodShapes:plate,34
420,woodShapes:platePoleCorner2,20
459,woodShapes:pillar50,71
473,woodShapes:pillar50CenterPlate,1
1188,woodShapes:catwalkV1,14
1871,woodShapes:windowBoarded,6
2125,woodShapes:fence,40
2128,woodShapes:fenceBroken1,4
2129,woodShapes:fenceBroken2,4
6433,concreteShapes:cube,69
6437,concreteShapes:cube1mHole,14
6438,concreteShapes:cube1mHoleFilled,2
6549,concreteShapes:plate,299
6613,concreteShapes:billboard,8
6623,concreteShapes:pillar100Open,4
6852,concreteShapes:plateRound,2
6902,concreteShapes:wedge60,15
6903,concreteShapes:wedge60Tip,22
7011,concreteShapes:wedge60TipCornerTop,2
7012,concreteShapes:wedgeInsideCornerBase,8
7013,concreteShapes:wedgeInsideCornerTop,4
7174,concreteShapes:plateRamp,2
7545,concreteShapes:cubeTrimCenterHalf,26
7548,concreteShapes:cubeTrimCenterCornerHalf,4
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,1
7689,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,2
8325,concreteShapes:plateSidewalkCrooked,10
8326,concreteShapes:plateSidewalkBroke01,64
8327,concreteShapes:plateSidewalkBroke02,48
8328,concreteShapes:plateSidewalkBroke03,41
8329,concreteShapes:plateSidewalkBroke04,41
8332,concreteShapes:roadPaintDash,76
8335,concreteShapes:roadPaintDiagonal,4
8336,concreteShapes:roadPaintDashDiagonalFiller,2
12787,corrugatedMetalShapes:billboard,15
12797,corrugatedMetalShapes:pillar100Open,1
14325,corrugatedMetalShapes:shantywall01,6
14326,corrugatedMetalShapes:shantywall02,7
14327,corrugatedMetalShapes:shantywall03,4
14328,corrugatedMetalShapes:shantywall04,4
17152,cntTrashPile02,1
17153,cntTrashPile03,4
17160,garbage_decor1,6
17161,garbage_decor2,6
17162,garbage_decor3,1
17225,cntDumpster,1
17258,cntCoolerRandomLootHelper,1
17303,cntBagsRandomLootHelper,1
17310,woodPoleUtilitySupport,16
17311,woodPillar375,64
17312,woodPillar375UtilityTop,8
17314,utilityTransformerHanging,3
17315,utilityInsulator,16
17316,airConditioner,1
17499,cntRetroFridgeVer2Open,1
17517,cntStoveOldVer2Open,1
17813,streetLight01,8
18064,tarpFenceGreen,1
18065,tarpFenceFallingRightGreen,2
18066,tarpFenceFallingLeftGreen,2
18071,tarpFenceFallingRightBlue,2
18072,tarpFenceFallingLeftBlue,1
18073,tarpFenceSagingBlue,2
18078,tarpFenceFallingLeftRed,1
18079,tarpFenceSagingRed,2
18226,chainlinkFenceTopPlainRail,41
18227,chainlinkFenceTopPlainPoleLeft,4
18228,chainlinkFenceTopPlainPoleRight,1
18229,chainlinkFenceTopPlainCorner,4
18255,guardRailStraight,17
18256,guardRailPole,13
18257,guardRailBarrierFlipped,5
18258,guardRailBarrier,5
18392,cntBarrelRadiatedSingle45,1
18407,decoCarBackBumperUpright,1
18410,decoCarFrontBumperFlipped,1
18413,decoCarBackDoorFlat,2
18418,decoCarSeatFlipped,1
18425,decoCarTrunkLidFlat,1
18426,decoCarTrunkLidFlipped,1
18427,decoCarPartsRamp,1
18428,decoCarTireSmallFlat,3
18430,decoCarTirePile,1
18450,goreBlockHumanCorpse1,1
18484,cinderBlocks01,2
18486,cinderBlocks03,3
18493,rockResource,1
18586,palletCompressedCardboard,2
19828,cntDeskMetalEmptyBrown,1
19967,chairCampingGreen,3
19983,sectionalPlaidCouchSofaMiddle,2
19985,sectionalPlaidCouchSofaArm,2
19996,couchUglySingleBrown,1
20023,couchUglyLargeBlue,1
20142,mattressFlatThin,1
20301,concretePlateRound13mLeft01,5
20302,concretePlateRound13mLeft02,2
20303,concretePlateRound13mLeft03,2
20304,concretePlateRound13mLeft04,2
20305,concretePlateRound13mLeft05,2
20306,concretePlateRound13mLeft06,2
20307,concretePlateRound13mLeft07,1
20308,concretePlateRound13mLeft08,2
20309,concretePlateRound13mLeft09,1
20310,concretePlateRound13mLeft10,1
20311,concretePlateRound13mLeft11,1
20312,concretePlateRound13mLeft12,1
20313,concretePlateRound13mLeft13,1
20314,concretePlateRound13mLeft14,1
20316,concretePlateRound13mLeft16,3
20317,concretePlateRound13mLeft17,3
20318,concretePlateRound13mLeft18,3
20319,concretePlateRound13mLeft19,3
20320,concretePlateRound13mLeft20,3
20321,concretePlateRound13mLeft21,3
20322,concretePlateRound13mCenter01,3
20323,concretePlateRound13mCenter02,3
20324,concretePlateRound13mRight01,4
20325,concretePlateRound13mRight02,1
20326,concretePlateRound13mRight03,1
20327,concretePlateRound13mRight04,1
20328,concretePlateRound13mRight05,1
20329,concretePlateRound13mRight06,1
20330,concretePlateRound13mRight07,1
20331,concretePlateRound13mRight08,1
20332,concretePlateRound13mRight09,1
20333,concretePlateRound13mRight10,1
20334,concretePlateRound13mRight11,1
20335,concretePlateRound13mRight12,1
20336,concretePlateRound13mRight13,1
20337,concretePlateRound13mRight14,1
20338,concretePlateRound13mRight15,1
20339,concretePlateRound13mRight16,4
20340,concretePlateRound13mRight17,4
20341,concretePlateRound13mRight18,4
20342,concretePlateRound13mRight19,3
20343,concretePlateRound13mRight20,4
20344,concretePlateRound13mRight21,3
20354,parkingBlock,1
20355,parkingBlockCrooked1,1
20356,parkingBlockCrooked2,1
20357,parkingBlockBroken,1
20558,cntStoreElectronicsBookShelfSpeaker,2
21004,barrierConcrete,3
21149,rubblePileWoodLarge,1
21150,rubblePileWoodSmall,1
21356,fireHydrantYellow,1
21368,signRoadBellLake,2
21374,signRoadCourtlandBell,1
21402,signRoadStop,2
21428,signDoNotEnter,1
21765,abandonedPickupTruck01DoorRandomHelper,1
22021,cntCar03SedanDamage2RandomHelper,1
22022,cntSedan01AirRandomHelper,1
22025,cntPickupTruck01AirRandomHelper,2
22035,cntServiceTruckWorkingStiffToolsRandomLootHelper,1
22142,treeSmallRandomHelper,5
22144,treeMediumRandomHelper,3
22272,sleeperCrawlerOnly,3
