id,name,count
2,terrainFiller,149885
5,terrDirt,2239
16,terrGravel,1837
17,terrAsphalt,4208
316,woodShapes:pole,16
383,woodShapes:plate,4
447,woodShapes:billboard,8
469,woodShapes:pillar50Corner,10
1245,woodShapes:catwalkV1,2
1984,woodShapes:windowBoarded,4
2093,woodShapes:shantywall03,1
2105,woodShapes:sawhorse,1
2168,woodShapes:cupboardAjar,2
2193,woodShapes:bookcaseEmpty,1
2239,woodShapes:fence,25
2242,woodShapes:fenceBroken1,5
2243,woodShapes:fenceBroken2,6
2443,brickShapes:cube,3
2458,brickShapes:cubeHalf,55
2481,brickShapes:cubeQuarter,6
2551,brickShapes:polePlate,12
2564,brickShapes:cubeHalfPlateCorner2,4
3367,brickShapes:stairsFilledQuarterVerticalUV,22
3575,brickShapes:halfTrimSplit,2
3876,brickShapes:doorTrim1m,16
3883,brickShapes:doorTrimTop,8
6811,concreteShapes:cube,726
6814,concreteShapes:cubeThreeQuarter,2
6815,concreteShapes:cube1mHole,4
6826,concreteShapes:cubeHalf,49
6827,concreteShapes:cubeHalfCentered,15
6849,concreteShapes:cubeQuarter,10
6868,concreteShapes:pole,23
6870,concreteShapes:poleSideCentered,17
6911,concreteShapes:poleSquareCircle,2
6935,concreteShapes:plate,565
6970,concreteShapes:plateHalfTriangle,8
6975,concreteShapes:platePole,1
6999,concreteShapes:billboard,12
7009,concreteShapes:pillar100Open,8
7095,concreteShapes:3mTubeCenter,104
7096,concreteShapes:3mTubeCorner,100
7099,concreteShapes:3mTunnelCenter,55
7103,concreteShapes:3mTunnelCorner,60
7239,concreteShapes:plateRound,7
7290,concreteShapes:wedge60,74
7413,concreteShapes:wedgeNarrowHigh,74
7414,concreteShapes:wedgeNarrowMid,72
7415,concreteShapes:wedgeNarrowLow,68
7416,concreteShapes:wedgeNarrowTip,72
7573,concreteShapes:plateRamp,4
7736,concreteShapes:stairsFilledVerticalUV,4
8010,concreteShapes:cubeTrimQuarterEdge,10
8818,concreteShapes:plateSidewalkBroke01,54
8819,concreteShapes:plateSidewalkBroke02,19
8820,concreteShapes:plateSidewalkBroke03,36
8821,concreteShapes:plateSidewalkBroke04,12
8824,concreteShapes:roadPaintDash,872
8827,concreteShapes:roadPaintDiagonal,15
8828,concreteShapes:roadPaintDashDiagonalFiller,26
8844,concreteShapes:roadPaintArrowStraight,3
8846,concreteShapes:roadPaintArrowRight,5
8849,concreteShapes:roadPaintDashWedgeNarrowTip,2
8850,concreteShapes:roadPaintDashWedgeNarrowLow,2
8851,concreteShapes:roadPaintDashWedgeNarrowMid,2
8852,concreteShapes:roadPaintDashWedgeNarrowHigh,2
