id,name,count
2,terrainFiller,241532
5,terrDirt,75
16,terrGravel,2495
17,terrAsphalt,2911
310,woodShapes:pole,28
375,woodShapes:plate,4
405,woodShapes:plateHalf,30
1188,woodShapes:catwalkV1,4
1871,woodShapes:windowBoarded,7
2125,woodShapes:fence,44
2128,woodShapes:fenceBroken1,7
2129,woodShapes:fenceBroken2,5
6433,concreteShapes:cube,123
6549,concreteShapes:plate,408
6584,concreteShapes:plateHalfTriangle,31
6613,concreteShapes:billboard,4
6712,concreteShapes:3mTunnelCenter,69
6715,concreteShapes:3mTunnelCenterTee,1
6716,concreteShapes:3mTunnelCorner,45
6717,concreteShapes:3mTunnelInsideCorner,2
6718,concreteShapes:3mTunnelInsideCenter,2
7174,concreteShapes:plateRamp,9
7611,concreteShapes:cubeTrimQuarterCornerInside2,2
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,49
7689,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,6
8325,concreteShapes:plateSidewalkCrooked,3
8326,concreteShapes:plateSidewalkBroke01,34
8327,concreteShapes:plateSidewalkBroke02,25
8328,concreteShapes:plateSidewalkBroke03,25
8329,concreteShapes:plateSidewalkBroke04,12
8332,concreteShapes:roadPaintDash,614
8335,concreteShapes:roadPaintDiagonal,16
8336,concreteShapes:roadPaintDashDiagonalFiller,36
8337,concreteShapes:roadPaintDashDiagonalDouble,12
8341,concreteShapes:roadPaintArrowLeft,2
12787,corrugatedMetalShapes:billboard,4
12807,corrugatedMetalShapes:pillar50,32
12821,corrugatedMetalShapes:pillar50CenterPlate,4
12882,corrugatedMetalShapes:3mTubeCenter,6
12883,corrugatedMetalShapes:3mTubeCorner,4
13616,corrugatedMetalShapes:cubeLocalNorthFace,1
14326,corrugatedMetalShapes:shantywall02,6
14327,corrugatedMetalShapes:shantywall03,4
14328,corrugatedMetalShapes:shantywall04,5
17091,decoClawFootBathTub,1
17092,cntToilet01,1
17155,cntTrashPile02,2
17163,garbage_decor1,2
17164,garbage_decor2,2
17230,cntDumpster,1
17263,cntCoolerRandomLootHelper,1
17308,cntBagsRandomLootHelper,1
17315,woodPoleUtilitySupport,14
17316,woodPillar375,64
17317,woodPillar375UtilityTop,7
17319,utilityTransformerHanging,1
17320,utilityInsulator,14
17568,cntWasherOpen,1
17572,cntDryerOpen,1
17819,streetLight01,5
17852,burningBarrel,1
18232,chainlinkFenceTopPlainRail,26
18233,chainlinkFenceTopPlainPoleLeft,2
18234,chainlinkFenceTopPlainPoleRight,7
18261,guardRailStraight,16
18262,guardRailPole,12
18263,guardRailBarrierFlipped,4
18264,guardRailBarrier,4
18381,cntBarrelAcidSingle45,1
18389,cntBarrelGenericSingle00,1
18434,decoCarTireSmallFlat,3
18436,decoCarTirePile,1
18437,decoCarTireStack,1
18455,goreBlockHumanCorpse,1
18457,goreBlockHumanCorpse2,1
18459,goreBlockHumanCorpse3,2
18499,rockResource,5
18521,emberPileLightPOI1,1
19948,chairFoldingMetalUnfoldedBlue,2
20002,sectionalPlaidCouchSofaCorner,2
20118,wineBarrelPlain,1
20163,mattressFlatThin,1
20697,cntShoppingCartEmptyRed,1
21170,rubblePileWoodLarge,2
21172,rubblePileWoodBurntLarge,1
21391,signRoadCoronadoCourtland,1
21395,signRoadCourtlandBell,2
21419,signRoadSpeed35,1
21423,signRoadStop,3
21786,abandonedPickupTruck01DoorRandomHelper,1
22045,cntSUV01AirRandomHelper,1
22046,cntPickupTruck01AirRandomHelper,1
22048,cntPoliceCar01AirRandomHelper,1
22054,cntAmbulanceTruck01RandomLootHelper,1
22163,treeSmallRandomHelper,11
22165,treeMediumRandomHelper,6
22166,treeLargeRandomHelper,8
