id,name,count
2,terrainFiller,61567
5,terrDirt,37
16,terrGravel,1859
17,terrAsphalt,4275
310,woodShapes:pole,39
312,woodShapes:poleSideCentered,2
375,woodShapes:plate,29
410,woodShapes:plateHalfTriangle,6
411,woodShapes:plateQuarterTriangle,2
459,woodShapes:pillar50,9
988,woodShapes:plateDiagonal,8
991,woodShapes:plateDiagonalFiller,8
1188,woodShapes:catwalkV1,13
1869,woodShapes:windowBoarded,7
1989,woodShapes:sawhorse,1
2123,woodShapes:fence,53
2126,woodShapes:fenceBroken1,8
2127,woodShapes:fenceBroken2,9
2313,brickShapes:cube,83
6421,concreteShapes:cube,53
6453,concreteShapes:cubeQuarter,30
6467,concreteShapes:cubeEighth,4
6537,concreteShapes:plate,540
6572,concreteShapes:plateHalfTriangle,32
6601,concreteShapes:billboard,8
6611,concreteShapes:pillar100Open,19
6998,concreteShapes:wedge60TipCornerBase,4
7162,concreteShapes:plateRamp,9
8231,concreteShapes:cubeTileBroken,7
8306,concreteShapes:plateSidewalkBroke01,48
8307,concreteShapes:plateSidewalkBroke02,31
8308,concreteShapes:plateSidewalkBroke03,34
8309,concreteShapes:plateSidewalkBroke04,11
8316,concreteShapes:roadPaintDash,768
8317,concreteShapes:roadPaintDashCNTR,50
8319,concreteShapes:roadPaintDiagonal,16
8320,concreteShapes:roadPaintDashDiagonalFiller,37
8321,concreteShapes:roadPaintDashDiagonalDouble,12
8326,concreteShapes:roadPaintArrowRight,2
10250,steelShapes:securityGatePlate,2
12634,corrugatedMetalShapes:pole,50
12635,corrugatedMetalShapes:poleCentered,2
12636,corrugatedMetalShapes:poleSideCentered,8
12639,corrugatedMetalShapes:poleHalfSideCentered,2
12640,corrugatedMetalShapes:poleTwoWayCorner,16
12644,corrugatedMetalShapes:poleSquareSideCenteredTee,16
12661,corrugatedMetalShapes:cubePoleCorner,4
12699,corrugatedMetalShapes:plate,85
12729,corrugatedMetalShapes:plateHalf,12
12732,corrugatedMetalShapes:plateQuarter,4
12763,corrugatedMetalShapes:billboard,14
12783,corrugatedMetalShapes:pillar50,48
12797,corrugatedMetalShapes:pillar50CenterPlate,6
12850,corrugatedMetalShapes:poleUtilitySupport,2
13312,corrugatedMetalShapes:plateDiagonal,4
13331,corrugatedMetalShapes:plateWedge60Left,2
13332,corrugatedMetalShapes:plateWedge60Right,2
13333,corrugatedMetalShapes:plateWedge60LeftTip,2
13334,corrugatedMetalShapes:plateWedge60RightTip,2
13341,corrugatedMetalShapes:plateWedge60Tip,12
13348,corrugatedMetalShapes:plateWedge60Incline,12
13351,corrugatedMetalShapes:plateWedge60Filler,12
13563,corrugatedMetalShapes:catwalkV2RailOnly,1
13652,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,1
13952,corrugatedMetalShapes:doorTrim1m,12
14137,corrugatedMetalShapes:windowIndustrial02Full,2
14430,corrugatedMetalShapes:ladderRound,16
14431,corrugatedMetalShapes:ladderRoundBroken1,1
14432,corrugatedMetalShapes:ladderRoundBroken2,2
