id,name,count
2,terrainFiller,243032
17,terrAsphalt,5607
18,terrConcrete,4
259,woodShapes:cube,2
274,woodShapes:cubeHalf,12
312,woodShapes:poleSideCentered,33
375,woodShapes:plate,98
387,woodShapes:plateCorner,2
405,woodShapes:plateHalf,10
439,woodShapes:billboard,13
658,woodShapes:arch3m,10
659,woodShapes:arch3mTip,24
1009,woodShapes:plateWedge60LeftTip,2
1010,woodShapes:plateWedge60RightTip,1
1156,woodShapes:stairsHollow,2
1196,woodShapes:catwalkV1RailOnly,4
1624,woodShapes:doorTrimCorner,13
1626,woodShapes:doorTrim0.5m,2
1628,woodShapes:doorTrim1m,38
1644,woodShapes:windowTrim,8
1651,woodShapes:windowTrimTopFancy,1
1799,woodShapes:window01Broken03,2
1800,woodShapes:window01Broken04,1
1801,woodShapes:window01Broken05,3
1938,woodShapes:plateDestroyed,4
1939,woodShapes:plateDestroyed02,5
1940,woodShapes:plateDestroyed03,3
1972,woodShapes:sidingBurnt06,4
1973,woodShapes:sidingBurnt07,2
1974,woodShapes:woodDebris01,1
1975,woodShapes:woodDebris02,2
1976,woodShapes:woodDebris03,1
1996,woodShapes:wallStud,31
1997,woodShapes:wallStudBroken,6
2125,woodShapes:fence,46
2152,woodShapes:plateSidewalkBroke01,4
2317,brickShapes:cube,1243
2332,brickShapes:cubeHalf,152
2333,brickShapes:cubeHalfCentered,324
2349,brickShapes:cubeQuarter,20
3194,brickShapes:stairsFilledQuarterVerticalUV,6
3386,brickShapes:cubeTrimHalfSplit4Sided,21
3387,brickShapes:cubeTrimHalfSplit,265
3458,brickShapes:cubeHalfTrimQuarterEdgeBottom,23
3493,brickShapes:cubeHalfTrimQuarterCornerInside,8
3567,brickShapes:cubeTrimQuarterEdgeTwoSided,12
3573,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,3
3940,brickShapes:brickDestroyed01,6
3941,brickShapes:brickDestroyed02,7
3942,brickShapes:brickDestroyed03,7
3943,brickShapes:brickDestroyed04,4
3945,brickShapes:brickHalfCenteredDestroyed01,4
3946,brickShapes:brickHalfCenteredDestroyed02,2
3947,brickShapes:brickHalfCenteredDestroyed03,4
3948,brickShapes:brickHalfCenteredDestroyed04,5
3949,brickShapes:brickHalfDestroyed01,2
3950,brickShapes:brickHalfDestroyed02,2
3951,brickShapes:brickHalfDestroyed03,5
3953,brickShapes:brickHalfDestroyed05,2
3954,brickShapes:brickHalfDestroyed06,1
3955,brickShapes:brickHalfDestroyed07,1
6433,concreteShapes:cube,8708
6436,concreteShapes:cubeThreeQuarter,10
6448,concreteShapes:cubeHalf,298
6451,concreteShapes:cubeCornerBeveled,40
6452,concreteShapes:cubeCornerBeveledCorner,4
6458,concreteShapes:cubeHalfCornerBeveled,4
6465,concreteShapes:cubeQuarter,159
6467,concreteShapes:quarterCenteredWall,161
6470,concreteShapes:quarterInsideCorner,33
6479,concreteShapes:cubeEighth,4
6484,concreteShapes:pole,10
6522,concreteShapes:poleSquareTipRight,2
6549,concreteShapes:plate,14
6579,concreteShapes:plateHalf,18
6613,concreteShapes:billboard,108
6868,concreteShapes:ramp,10
6902,concreteShapes:wedge60,21
6903,concreteShapes:wedge60Tip,75
6915,concreteShapes:wedge60Incline,24
6975,concreteShapes:wedge60SplitLeft03,2
6976,concreteShapes:wedge60SplitRight03,2
6979,concreteShapes:wedge60SplitLeft05,10
6980,concreteShapes:wedge60SplitRight05,10
6981,concreteShapes:wedge60SplitLeft06,8
6982,concreteShapes:wedge60SplitRight06,8
6999,concreteShapes:cubeHalfWedge60BevelLeft,10
7000,concreteShapes:cubeHalfWedge60BevelRight,10
7005,concreteShapes:wedge60TipHalfLeft,10
7006,concreteShapes:wedge60TipHalfRight,10
7016,concreteShapes:wedgeNarrowHigh,50
7017,concreteShapes:wedgeNarrowMid,50
7018,concreteShapes:wedgeNarrowLow,50
7019,concreteShapes:wedgeNarrowTip,49
7107,concreteShapes:plateGableIncline,4
7151,concreteShapes:rampInclineFiller,42
7152,concreteShapes:rampInclineFillerHalfLeft,16
7153,concreteShapes:rampInclineFillerHalfRight,17
7310,concreteShapes:stairsFilledQuarterVerticalUV,27
7311,concreteShapes:stairsFilledVerticalUV,25
7315,concreteShapes:stairsFilledDiagonal2,8
7324,concreteShapes:stairsFilledRailingLeft,7
7325,concreteShapes:stairsFilledRailingRight,7
7326,concreteShapes:stairsFilledRailingMetalLeft,1
7327,concreteShapes:stairsFilledRailingMetalRight,1
7329,concreteShapes:stairsFilledRailingMetalRight2,2
7330,concreteShapes:stairsHollow,8
7334,concreteShapes:stairsHollowRailingMetalRight,8
7335,concreteShapes:stairsHollowRailingMetalLeft2,4
7336,concreteShapes:stairsHollowRailingMetalRight2,4
7398,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
7399,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
7400,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
7402,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
7404,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,1
7405,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,1
7406,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
7408,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
7447,concreteShapes:cubeBaseboard,1
7502,concreteShapes:cubeTrimHalfSplit4Sided,4
7503,concreteShapes:cubeTrimHalfSplit,82
7508,concreteShapes:halfTrimSplit2,3
7573,concreteShapes:cubeTrimQuarterEdge,139
7586,concreteShapes:cubeTrimQuarterCenter,60
7608,concreteShapes:cubeTrimQuarterCornerInside,39
7621,concreteShapes:cubeTrimQuarterCornerInsideTriangle,136
7627,concreteShapes:cubeTrimQuarterDiagonal2,5
7636,concreteShapes:cubeTrimQuarterCornerDiagonal,4
7639,concreteShapes:cubeTrimQuarterDiagonalFiller,10
7651,concreteShapes:cubeTrimQuarterDiagonalFiller2,8
