id,name,count
2,terrainFiller,229493
16,terrGravel,20
17,terrAsphalt,6034
316,woodShapes:pole,20
323,woodShapes:poleThreeWayCorner,8
383,woodShapes:plate,56
384,woodShapes:plateCentered,20
413,woodShapes:plateHalf,8
428,woodShapes:platePoleCorner2,28
434,woodShapes:poleThreeWayPlate2,16
579,woodShapes:cubeQuarter5mRound02,10
580,woodShapes:cubeQuarter5mRound03,10
581,woodShapes:cubeQuarter5mRound04,10
582,woodShapes:cubeQuarter5mRound05,10
671,woodShapes:arch3mTip,10
1038,woodShapes:plateWedge60Left,4
1039,woodShapes:plateWedge60Right,4
1205,woodShapes:stairsRailing,4
1268,woodShapes:catwalkV1RailOnly,8
1332,woodShapes:railing,18
1335,woodShapes:railingBroke01,8
1730,woodShapes:doorTrim1m,16
2053,woodShapes:windowBoarded,2
2160,woodShapes:woodDebris01,1
2161,woodShapes:woodDebris02,1
2162,woodShapes:woodDebris03,1
2233,woodShapes:prepTableCornerLeft,1
2234,woodShapes:prepTableCornerRight,1
2298,woodShapes:ladderSquare,4
2303,woodShapes:trellisDiamond,26
2523,brickShapes:cube,710
2538,brickShapes:cubeHalf,363
2546,brickShapes:cubeCornerBeveled,4
2561,brickShapes:cubeQuarter,7
2641,brickShapes:cubeQuarterCornerSquareTop,2
2643,brickShapes:cubeHalfPlateCorner,6
3270,brickShapes:rampInclineFiller,4
3457,brickShapes:stairsFilledQuarterVerticalUV,2
3629,brickShapes:halfBaseboard4Sided,22
3675,brickShapes:cubeTrimHalfSplit,54
3678,brickShapes:halfTrimSplit,3
3680,brickShapes:halfTrimSplit2,82
3684,brickShapes:cubeTrimHalfEdge,36
3687,brickShapes:cubeHalfCornerTrimHalfCornerInside,2
3689,brickShapes:cubeHalfCornerTrimHalfEdge,5
3693,brickShapes:cubeHalfTrimCornerQuarter2,9
3702,brickShapes:cubeTrimRoundHalf,6
3745,brickShapes:cubeTrimQuarterEdge,1
3780,brickShapes:cubeTrimQuarterCornerInside,4
3842,brickShapes:cubeHalfTrimHalfSplitDiagonalOffset,9
3855,brickShapes:cubeTrimQuarterEdgeTwoSided,16
3939,brickShapes:archQuarterTrimTwoSided,2
3941,brickShapes:cubeArchQuarterTrim,2
4011,brickShapes:windowTrimBottom,1
4019,brickShapes:windowTrimTopRound,4
4300,brickShapes:windowTopRoundFilledCentered,4
4328,brickShapes:brickDestroyed01,9
4329,brickShapes:brickDestroyed02,9
4330,brickShapes:brickDestroyed03,7
4331,brickShapes:brickDestroyed04,4
4332,brickShapes:brickDestroyed05,1
4337,brickShapes:brickHalfDestroyed01,1
4338,brickShapes:brickHalfDestroyed02,3
4339,brickShapes:brickHalfDestroyed03,1
4340,brickShapes:brickHalfDestroyed04,4
4341,brickShapes:brickHalfDestroyed05,4
4342,brickShapes:brickHalfDestroyed06,3
4343,brickShapes:brickHalfDestroyed07,2
4344,brickShapes:brickHalfDestroyed08,1
7051,concreteShapes:cube,6661
7053,concreteShapes:cubeHalfInsideCorner,6
7055,concreteShapes:cube1mHole,2
7056,concreteShapes:cube1mHoleFilled,10
7057,concreteShapes:cube1mHoleFilledCentered,4
7066,concreteShapes:cubeHalf,764
7074,concreteShapes:cubeCornerBeveled,47
7076,concreteShapes:cubeCornerBeveledCorner,2
7085,concreteShapes:halfQuarterPost,16
7087,concreteShapes:cubeQuarterPlateCorner,2
7089,concreteShapes:cubeQuarter,116
7094,concreteShapes:quarterInsideCorner,4
7095,concreteShapes:quarterInsideCorner3way,4
7103,concreteShapes:cubeEighth,18
7108,concreteShapes:pole,226
7114,concreteShapes:poleTwoWayCorner,8
7133,concreteShapes:poleSquareDouble,3
7137,concreteShapes:cubePoleCorner,6
7147,concreteShapes:poleSquareTipLeft,3
7148,concreteShapes:poleSquareTipRight,3
7154,concreteShapes:polePlateHalf,2
7156,concreteShapes:polePlateHalfOffCentered,24
7159,concreteShapes:polePlate,8
7171,concreteShapes:cubeHalfPlateCorner,8
7172,concreteShapes:cubeHalfPlateCorner2,3
7175,concreteShapes:plate,23
7204,concreteShapes:plateThreeQuarter,1
7205,concreteShapes:plateHalf,90
7208,concreteShapes:plateQuarter,15
