id,name,count
2,terrainFiller,247287
16,terrGravel,34
17,terrAsphalt,6860
383,woodShapes:plate,8
1393,woodShapes:counterBottomFiller,1
1725,woodShapes:windowTrim,3
2439,woodShapes:barrierGateBase,1
2440,woodShapes:barrierGateBase2,1
2441,woodShapes:barrierGateMiddle,6
2442,woodShapes:barrierGateTip,1
2443,woodShapes:barrierGateTip2,1
2499,brickShapes:cube,2231
2502,brickShapes:cubeThreeQuarter,40
2514,brickShapes:cubeHalf,152
2515,brickShapes:cubeHalfCentered,118
2537,brickShapes:cubeQuarter,5
2623,brickShapes:plate,25
2792,brickShapes:3mTunnelCenterTee,8
2793,brickShapes:3mTunnelCorner,16
2902,brickShapes:arch,18
2909,brickShapes:arch3m,60
2910,brickShapes:arch3mTip,54
2911,brickShapes:arch3mMiddle,30
2945,brickShapes:ramp,91
2953,brickShapes:rampInsideCornerFull,2
2961,brickShapes:rampOutsideCornerFull,5
2962,brickShapes:rampCorner,1
2981,brickShapes:wedge60,191
2982,brickShapes:wedge60Tip,45
2988,brickShapes:wedge60Corner,5
2990,brickShapes:wedge60InsideCorner2,1
3098,brickShapes:wedge60TipCornerBase,11
3099,brickShapes:wedge60TipCornerTop,1
3100,brickShapes:wedgeInsideCornerBase,1
3101,brickShapes:wedgeInsideCornerTop,3
3104,brickShapes:wedgeNarrowHigh,4
3105,brickShapes:wedgeNarrowMid,4
3426,brickShapes:stairsFilledQuarterVerticalUV,1
3427,brickShapes:stairsFilledVerticalUV,4
3641,brickShapes:cubeTrimHalfSplit4Sided,23
3642,brickShapes:cubeTrimHalfSplit,63
3747,brickShapes:cubeTrimQuarterCornerInside,2
3822,brickShapes:cubeTrimQuarterEdgeTwoSided,94
3828,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,1
3841,brickShapes:cubeTrimQuarterCornerstoneOutsideTwoSided,4
3865,brickShapes:cubeTrimQuarterRamp,2
3965,brickShapes:windowTrim,80
3966,brickShapes:windowTrimBottom,13
3974,brickShapes:windowTrimTopRound,14
4232,brickShapes:arch3mWindowCornerSide,10
4233,brickShapes:arch3mWindowCenterSide,5
4234,brickShapes:arch3mWindowTipSideLeft,5
4243,brickShapes:arch3mWindowTipTwoSidedRight,5
4253,brickShapes:windowTopRound,1
4254,brickShapes:windowTopRoundFilled,6
4282,brickShapes:cornerstone,56
4283,brickShapes:brickDestroyed01,10
4284,brickShapes:brickDestroyed02,7
4285,brickShapes:brickDestroyed03,9
