id,name,count
1,terrStone,71
2,terrainFiller,371330
5,terrDirt,273
14,terrDestroyedStone,219
16,terrGravel,287
17,terrAsphalt,3618
354,woodShapes:polePlateHalf,24
1647,woodShapes:windowTrimSides,42
2125,woodShapes:fence,2
2128,woodShapes:fenceBroken1,5
2129,woodShapes:fenceBroken2,3
2317,brickShapes:cube,184
2332,brickShapes:cubeHalf,80
2710,brickShapes:arch,60
2712,brickShapes:archCorner,20
3231,brickShapes:wedgeTipStairs,79
3232,brickShapes:wedgeTipStairsInsideCorner,2
3233,brickShapes:wedgeTipStairsOutsideCorner,4
3235,brickShapes:wedgeStairs,75
3236,brickShapes:wedgeStairsInsideCorner,2
3237,brickShapes:wedgeStairsOutsideCorner,4
3458,brickShapes:cubeTrimQuarterEdge,18
3489,brickShapes:cubeTrimQuarterCornerOutside,8
3493,brickShapes:cubeTrimQuarterCornerInside,1
3568,brickShapes:cubeTrimQuarterEdgeTwoSided,70
3574,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,21
3941,brickShapes:brickDestroyed01,3
3942,brickShapes:brickDestroyed02,2
3944,brickShapes:brickDestroyed04,1
6433,concreteShapes:cube,10670
6435,concreteShapes:cubeHalfInsideCorner,1
6448,concreteShapes:cubeHalf,276
6449,concreteShapes:cubeHalfCentered,124
6451,concreteShapes:cubeCornerBeveled,38
6458,concreteShapes:cubeHalfCornerBeveled,36
6465,concreteShapes:cubeQuarter,27
6484,concreteShapes:pole,4
6490,concreteShapes:poleTwoWayCorner,4
6535,concreteShapes:polePlateOffCentered,29
6549,concreteShapes:plate,1
6593,concreteShapes:platePoleCorner,23
6599,concreteShapes:poleThreeWayPlate,20
6613,concreteShapes:billboard,34
6713,concreteShapes:3mTunnelCenter,216
6714,concreteShapes:3mTunnelCenterCorner,10
6715,concreteShapes:3mTunnelCenterCross,3
6717,concreteShapes:3mTunnelCorner,200
6718,concreteShapes:3mTunnelInsideCorner,26
6719,concreteShapes:3mTunnelInsideCenter,13
6720,concreteShapes:3mTunnelOutsideCorner,10
6721,concreteShapes:3mTunnelOutsideCenter,5
6797,concreteShapes:cubeQuarter7mRound01,82
6798,concreteShapes:cubeQuarter7mRound02,82
6799,concreteShapes:cubeQuarter7mRound03,82
6800,concreteShapes:cubeQuarter7mRound04,82
6801,concreteShapes:cubeQuarter7mRound05,80
6802,concreteShapes:cubeQuarter7mRoundFiller,57
6808,concreteShapes:cubeQuarter7mRoundCatwalkFiller01,13
6809,concreteShapes:cubeQuarter7mRoundCatwalkFiller02,13
6810,concreteShapes:cubeQuarter7mRoundCatwalkFiller03,14
6811,concreteShapes:cubeQuarter7mRoundCatwalkFiller04,13
6812,concreteShapes:cubeQuarter7mRoundCatwalkFiller05,13
6826,concreteShapes:arch,14
6828,concreteShapes:archCorner,1
6831,concreteShapes:archRampTop,2
6832,concreteShapes:archRampBottom,2
6862,concreteShapes:cubeQuarterRoundOutside,120
6869,concreteShapes:ramp,73
6885,concreteShapes:rampCorner,20
6886,concreteShapes:rampCornerFiller,20
6903,concreteShapes:wedge60,261
6904,concreteShapes:wedge60Tip,184
6910,concreteShapes:wedge60Corner,4
6912,concreteShapes:wedge60InsideCorner2,4
6935,concreteShapes:wedge60SlopeBase,2
6936,concreteShapes:wedge60SlopeMiddle,4
