id,name,count
2,terrainFiller,342981
16,terrGravel,25
17,terrAsphalt,6282
259,woodShapes:cube,1
274,woodShapes:cubeHalf,8
275,woodShapes:cubeHalfCentered,1
376,woodShapes:cubeQuarterCenteredSquareTop,4
383,woodShapes:plate,7
742,woodShapes:wedge60,9
743,woodShapes:wedge60Tip,17
755,woodShapes:wedge60Incline,3
790,woodShapes:wedgeInclineCornerTop,4
865,woodShapes:wedge60TipCornerBase,4
866,woodShapes:wedge60TipCornerTop,8
867,woodShapes:wedgeInsideCornerBase,2
2053,woodShapes:windowBoarded,2
2157,woodShapes:sidingBurnt05,1
2159,woodShapes:sidingBurnt07,3
2298,woodShapes:ladderSquare,9
2523,brickShapes:cube,645
2538,brickShapes:cubeHalf,34
2539,brickShapes:cubeHalfCentered,405
2580,brickShapes:pole,52
2631,brickShapes:polePlate,112
2647,brickShapes:plate,125
3006,brickShapes:wedge60,12
3269,brickShapes:rampIncline,24
3270,brickShapes:rampInclineFiller,32
3615,brickShapes:cubeBaseboard4Sided,10
3674,brickShapes:cubeTrimHalfSplit4Sided,45
3678,brickShapes:halfTrimSplit,2
3681,brickShapes:quarterTrimSplit,4
3855,brickShapes:cubeTrimQuarterEdgeTwoSided,22
4010,brickShapes:windowTrim,30
4011,brickShapes:windowTrimBottom,10
4274,brickShapes:arch3mWindowCorner,2
4275,brickShapes:arch3mCenterWindow,1
4276,brickShapes:arch3mWindowTip,2
4277,brickShapes:arch3mWindowCornerSide,28
4278,brickShapes:arch3mWindowCenterSide,14
4279,brickShapes:arch3mWindowTipSideLeft,14
4281,brickShapes:arch3mWindowCornerSideHalf,8
4282,brickShapes:arch3mWindowCenterSideHalf,8
4285,brickShapes:arch3mWindowCornerTwoSided,6
4286,brickShapes:arch3mWindowCenterTwoSided,3
4288,brickShapes:arch3mWindowTipTwoSidedRight,14
4293,brickShapes:windowArchTop,4
4327,brickShapes:cornerstone,45
4328,brickShapes:brickDestroyed01,8
4329,brickShapes:brickDestroyed02,7
4330,brickShapes:brickDestroyed03,3
4331,brickShapes:brickDestroyed04,1
4332,brickShapes:brickDestroyed05,1
4333,brickShapes:brickHalfCenteredDestroyed01,28
4334,brickShapes:brickHalfCenteredDestroyed02,23
4335,brickShapes:brickHalfCenteredDestroyed03,19
4336,brickShapes:brickHalfCenteredDestroyed04,15
4337,brickShapes:brickHalfDestroyed01,4
4338,brickShapes:brickHalfDestroyed02,2
4339,brickShapes:brickHalfDestroyed03,2
4340,brickShapes:brickHalfDestroyed04,2
4343,brickShapes:brickHalfDestroyed07,2
4344,brickShapes:brickHalfDestroyed08,1
4665,brickShapes:arch3mWindowCornerSideHalfClock1,2
4666,brickShapes:arch3mWindowCenterSideHalfClock1,2
4667,brickShapes:arch3mWindowCornerSideHalfClock2,2
4668,brickShapes:arch3mWindowCenterSideHalfClock2,2
4669,brickShapes:arch3mWindowCenterMiddleHalfClock,2
4670,brickShapes:arch3mWindowCenterSideHalfClock3,2
4671,brickShapes:arch3mWindowCornerSideHalfClock3,2
4672,brickShapes:arch3mWindowCenterSideHalfClock4,2
4673,brickShapes:arch3mWindowCornerSideHalfClock4,2
7051,concreteShapes:cube,5271
7066,concreteShapes:cubeHalf,265
7067,concreteShapes:cubeHalfCentered,66
7089,concreteShapes:cubeQuarter,30
7091,concreteShapes:quarterCenteredWall,191
7103,concreteShapes:cubeEighth,4
7159,concreteShapes:polePlate,13
7170,concreteShapes:cubeQuarterCornerInsideTrim,8
7175,concreteShapes:plate,36
7186,concreteShapes:plateHole,1
7205,concreteShapes:plateHalf,3
7208,concreteShapes:plateQuarter,2
7239,concreteShapes:billboard,65
7253,concreteShapes:halfPillar1mPlate,2
7338,concreteShapes:3mTubeCenter,4
7339,concreteShapes:3mTubeCorner,4
7342,concreteShapes:3mTunnelCenter,354
7343,concreteShapes:3mTunnelCenterCorner,10
7344,concreteShapes:3mTunnelCenterCross,6
7345,concreteShapes:3mTunnelCenterTee,5
7346,concreteShapes:3mTunnelCorner,354
7347,concreteShapes:3mTunnelInsideCorner,46
7348,concreteShapes:3mTunnelInsideCenter,23
7349,concreteShapes:3mTunnelOutsideCorner,10
7350,concreteShapes:3mTunnelOutsideCenter,5
7498,concreteShapes:ramp,4
7534,concreteShapes:wedge60,72
7535,concreteShapes:wedge60Tip,2
7585,concreteShapes:rampInclineHalfLeft,12
7619,concreteShapes:wedge60SplitLeft03,1
7620,concreteShapes:wedge60SplitRight03,1
7623,concreteShapes:wedge60SplitLeft05,1
7624,concreteShapes:wedge60SplitRight05,1
7643,concreteShapes:cubeHalfWedge60BevelLeft,2
7651,concreteShapes:wedge60TipHalfLeft,2
7657,concreteShapes:wedge60TipCornerBase,4
7660,concreteShapes:wedgeInsideCornerTop,4
7663,concreteShapes:wedgeNarrowHigh,42
7664,concreteShapes:wedgeNarrowMid,42
7665,concreteShapes:wedgeNarrowLow,36
7666,concreteShapes:wedgeNarrowTip,2
7784,concreteShapes:pyramid,20
7796,concreteShapes:halfRampStairs50Filler,6
7798,concreteShapes:rampInclineFiller,17
7799,concreteShapes:rampInclineFillerHalfLeft,16
7985,concreteShapes:stairsFilledQuarterVerticalUV,4
7986,concreteShapes:stairsFilledVerticalUV,48
7989,concreteShapes:stairsFilledDiagonal1,22
7990,concreteShapes:stairsFilledDiagonal2,18
7999,concreteShapes:stairsFilledRailingLeft,13
8000,concreteShapes:stairsFilledRailingRight,13
8009,concreteShapes:stairsHollowRailingRight,13
8203,concreteShapes:cubeTrimHalfSplit,29
8206,concreteShapes:halfTrimSplit,12
8208,concreteShapes:halfTrimSplit2,30
8209,concreteShapes:quarterTrimSplit,2
8273,concreteShapes:cubeTrimQuarterEdge,28
8308,concreteShapes:cubeTrimQuarterCornerInside,12
8311,concreteShapes:cubeTrimQuarterCornerInside2,1
