id,name,count
2,terrainFiller,227093
16,terrGravel,67
17,terrAsphalt,5875
259,woodShapes:cube,105
375,woodShapes:plate,29
439,woodShapes:billboard,11
1321,woodShapes:counterBottomFiller,1
1645,woodShapes:windowTrim,3
1997,woodShapes:wallStud,18
2257,woodShapes:barrierGateBase,1
2259,woodShapes:barrierGateMiddle,4
2261,woodShapes:barrierGateTip2,1
2317,brickShapes:cube,952
2332,brickShapes:cubeHalf,117
2333,brickShapes:cubeHalfCentered,110
2349,brickShapes:cubeQuarter,9
2433,brickShapes:plate,21
2540,brickShapes:halfBlockPillar50,1
2717,brickShapes:arch3m,6
2718,brickShapes:arch3mTip,6
2719,brickShapes:arch3mMiddle,3
2753,brickShapes:ramp,48
2768,brickShapes:rampOutsideCornerFull,12
2787,brickShapes:wedge60,128
2788,brickShapes:wedge60Tip,9
2895,brickShapes:wedge60TipCornerBase,13
3195,brickShapes:stairsFilledQuarterVerticalUV,7
3196,brickShapes:stairsFilledVerticalUV,6
3387,brickShapes:cubeTrimHalfSplit4Sided,28
3388,brickShapes:cubeTrimHalfSplit,22
3568,brickShapes:cubeTrimQuarterEdgeTwoSided,36
3584,brickShapes:cubeTrimQuarterCornerstoneOutsideTwoSided,4
3890,brickShapes:arch3mWindowCornerSide,6
3891,brickShapes:arch3mWindowCenterSide,3
3892,brickShapes:arch3mWindowTipSideLeft,3
3901,brickShapes:arch3mWindowTipTwoSidedRight,3
3940,brickShapes:cornerstone,34
3941,brickShapes:brickDestroyed01,6
3943,brickShapes:brickDestroyed03,1
3945,brickShapes:brickDestroyed05,2
3946,brickShapes:brickHalfCenteredDestroyed01,9
3947,brickShapes:brickHalfCenteredDestroyed02,9
3948,brickShapes:brickHalfCenteredDestroyed03,7
3949,brickShapes:brickHalfCenteredDestroyed04,11
3950,brickShapes:brickHalfDestroyed01,2
3951,brickShapes:brickHalfDestroyed02,1
3952,brickShapes:brickHalfDestroyed03,1
3954,brickShapes:brickHalfDestroyed05,2
3956,brickShapes:brickHalfDestroyed07,1
3957,brickShapes:brickHalfDestroyed08,1
6433,concreteShapes:cube,5557
6448,concreteShapes:cubeHalf,323
6449,concreteShapes:cubeHalfCentered,108
6465,concreteShapes:cubeQuarter,41
6467,concreteShapes:quarterCenteredWall,81
6470,concreteShapes:quarterInsideCorner,6
6479,concreteShapes:cubeEighth,3
6484,concreteShapes:pole,112
6533,concreteShapes:polePlate,2
6540,concreteShapes:poleSquareCornerRound,28
6613,concreteShapes:billboard,57
6709,concreteShapes:3mTubeCenter,4
6710,concreteShapes:3mTubeCorner,4
6713,concreteShapes:3mTunnelCenter,175
6714,concreteShapes:3mTunnelCenterCorner,2
6716,concreteShapes:3mTunnelCenterTee,2
6717,concreteShapes:3mTunnelCorner,178
6718,concreteShapes:3mTunnelInsideCorner,6
6719,concreteShapes:3mTunnelInsideCenter,3
6720,concreteShapes:3mTunnelOutsideCorner,2
6721,concreteShapes:3mTunnelOutsideCenter,1
6826,concreteShapes:arch,28
6833,concreteShapes:arch3m,4
6834,concreteShapes:arch3mTip,4
6835,concreteShapes:arch3mMiddle,2
6869,concreteShapes:ramp,74
6884,concreteShapes:rampOutsideCornerFull,1
6903,concreteShapes:wedge60,154
6904,concreteShapes:wedge60Tip,16
6976,concreteShapes:wedge60SplitLeft03,3
6977,concreteShapes:wedge60SplitRight03,4
6980,concreteShapes:wedge60SplitLeft05,1
6981,concreteShapes:wedge60SplitRight05,1
7000,concreteShapes:cubeHalfWedge60BevelLeft,5
