id,name,count
2,terrainFiller,82384
5,terrDirt,563
16,terrGravel,1131
17,terrAsphalt,5997
310,woodShapes:pole,15
2124,woodShapes:fence,32
2125,woodShapes:fenceDiagonal,5
6430,concreteShapes:cube,16
6610,concreteShapes:billboard,32
6620,concreteShapes:pillar100Open,50
6709,concreteShapes:3mTunnelCenter,32
6713,concreteShapes:3mTunnelCorner,40
7013,concreteShapes:wedgeNarrowHigh,4
7014,concreteShapes:wedgeNarrowMid,4
7015,concreteShapes:wedgeNarrowLow,4
7570,concreteShapes:cubeTrimQuarterEdge,16
7692,concreteShapes:cubeTrimQuarterEdgeDouble,38
8328,concreteShapes:roadPaintDash,1152
8329,concreteShapes:roadPaintDashCNTR,85
8331,concreteShapes:roadPaintDiagonal,17
8332,concreteShapes:roadPaintDashDiagonalFiller,17
8336,concreteShapes:roadPaintArrowStraight,2
8337,concreteShapes:roadPaintArrowLeft,2
8339,concreteShapes:roadPaintArrowLeftStraight,1
8349,concreteShapes:roadPaintWedge,17
8350,concreteShapes:roadPaintWedgeTip,17
8351,concreteShapes:roadPaintWedgeTip2,19
8352,concreteShapes:roadPaintWedge2,17
8353,concreteShapes:roadPaintWedge2Tip,17
8354,concreteShapes:roadPaintWedge2Tip2,19
12601,corrugatedMetalShapes:cube,16
12658,corrugatedMetalShapes:poleTwoWayCorner,8
12801,corrugatedMetalShapes:pillar50,32
12871,corrugatedMetalShapes:pillar25,21
12872,corrugatedMetalShapes:pillar25x25x25Tee,8
12873,corrugatedMetalShapes:pillar50x25x50Tee,4
14378,corrugatedMetalShapes:securityGatePlate,8
17212,cntDumpster,1
17213,cntDumpsterFlies,1
17291,cntSportsBag01RandomLootHelper,1
17779,streetLight01,4
17801,signTrafficLightOffset,8
18218,guardRailStraight,26
18219,guardRailPole,10
18220,guardRailBarrierFlipped,4
18221,guardRailBarrier,4
18412,goreBlockHumanCorpse3,1
20214,parkingBlock,6
20215,parkingBlockCrooked1,3
20216,parkingBlockCrooked2,3
20217,parkingBlockBroken,2
20878,barrierConcrete,5
21299,signDoNotEnter,2
21540,carWrecksRandomHelper,1
21587,cntSedan01RandomHelper,1
21713,cntMinivan01RandomHelper,1
21737,cntSUV01RandomHelper,1
21886,cntCar03SedanDamage0RandomHelper,1
21889,cntSedan01AirRandomHelper,2
21890,cntMinivan01AirRandomHelper,1
21891,cntSUV01AirRandomHelper,1
21892,cntPickupTruck01AirRandomHelper,1
21894,cntPoliceCar01AirRandomHelper,1
22009,treeSmallRandomHelper,14
22011,treeMediumRandomHelper,7
22012,treeLargeRandomHelper,6
22141,sleeperCrawlerOnly,8
