id,name,count
2,terrainFiller,87412
5,terrDirt,68
16,terrGravel,362
17,terrAsphalt,2400
7123,concreteShapes:pillar100Open,51
8976,concreteShapes:roadPaintDash,668
19667,guardRailStraight,45
19668,guardRailPole,12
19669,guardRailBarrierFlipped,4
19670,guardRailBarrier,4
19950,resourceRock01,3
19951,resourceRock02,3
23392,cntSedan01RandomHelper,1
23719,cntSedan01AirRandomHelper,1
23720,cntMinivan01AirRandomHelper,1
23855,treeSmallRandomHelper,16
23857,treeMediumRandomHelper,11
23858,treeLargeRandomHelper,6
