id,name,count
1,terrStone,1270
2,terrainFiller,157207
5,terrDirt,23062
16,terrGravel,877
17,terrAsphalt,925
29,terrStoneHelper,588
469,woodShapes:pillar50Corner,4
491,woodShapes:pillar50Plate,1
6814,concreteShapes:cube,2954
6829,concreteShapes:cubeHalf,222
6842,concreteShapes:rampCubeHalfCornerBeveled,4
6852,concreteShapes:cubeQuarter,201
6854,concreteShapes:quarterCenteredWall,1148
6859,concreteShapes:cubeTee,196
6917,concreteShapes:polePlateHalf,297
7252,concreteShapes:cubeQuarterRoundOutside,544
7259,concreteShapes:ramp,28
7294,concreteShapes:wedge60,210
7417,concreteShapes:wedgeNarrowHigh,28
7418,concreteShapes:wedgeNarrowMid,28
7419,concreteShapes:wedgeNarrowLow,28
7420,concreteShapes:wedgeNarrowTip,28
7553,concreteShapes:rampInclineFillerHalfLeft,4
7554,concreteShapes:rampInclineFillerHalfRight,4
7705,concreteShapes:ramp6m02,214
7710,concreteShapes:ramp8m01,4
7711,concreteShapes:ramp8m02,4
7712,concreteShapes:ramp8m03,4
7713,concreteShapes:ramp8m04,4
7714,concreteShapes:ramp8m05,4
7715,concreteShapes:ramp8m06,4
7716,concreteShapes:ramp8m07,4
7717,concreteShapes:ramp8m08,4
7739,concreteShapes:stairsFilledQuarterVerticalUV,28
7944,concreteShapes:cubeTrimHalfSplit,236
8014,concreteShapes:cubeTrimQuarterEdge,214
8249,concreteShapes:doorTrim1mOffCenter,188
8592,concreteShapes:concreteDestroyed05,4
8828,concreteShapes:roadPaintDash,161
8867,concreteShapes:roadPaintDash8mRamp01Left,5
8868,concreteShapes:roadPaintDash8mRamp02Left,4
8869,concreteShapes:roadPaintDash8mRamp03Left,5
8870,concreteShapes:roadPaintDash8mRamp04Left,4
8871,concreteShapes:roadPaintDash8mRamp05Left,5
8872,concreteShapes:roadPaintDash8mRamp06Left,4
8873,concreteShapes:roadPaintDash8mRamp07Left,5
8874,concreteShapes:roadPaintDash8mRamp08Left,4
8875,concreteShapes:roadPaintDash8mRamp01Right,5
8876,concreteShapes:roadPaintDash8mRamp02Right,4
8877,concreteShapes:roadPaintDash8mRamp03Right,5
8878,concreteShapes:roadPaintDash8mRamp04Right,4
8879,concreteShapes:roadPaintDash8mRamp05Right,5
8880,concreteShapes:roadPaintDash8mRamp06Right,4
8881,concreteShapes:roadPaintDash8mRamp07Right,5
8882,concreteShapes:roadPaintDash8mRamp08Right,4
15262,corrugatedMetalShapes:securityGatePlate,16
15264,corrugatedMetalShapes:fakeDynamicGrate,4
15447,corrugatedMetalShapes:cubeDrainStraight,24
15449,corrugatedMetalShapes:cubeDrainStraightHalf,8
17959,smallPileRandomHelper,1
18172,laundryLoose,4
18182,garbage_decor1,2
18183,garbage_decor2,5
18184,garbage_decor3,1
18186,glassBroken_01,2
18187,glassBroken_02,3
18192,newspaperDecor02,1
18193,newspaperDecor03,2
18195,rubbishDecor01,2
18196,rubbishDecor02,2
18197,rubbishDecor03,3
18199,rubbishDecor05,3
18202,rubbishDecor09,2
18203,rubbishDecor10,1
18204,rubbishDecor11,1
18205,rubbishDecor12,1
18206,rubbishDecor13,2
18207,bloodDecor01,1
18208,bloodDecor02,1
18209,bloodDecor05,1
18308,cntCoolerRandomLootHelper,1
18353,cntBagsRandomLootHelper,1
19143,cntCampingTentDomeRandomHelper,1
19144,cntCampingTentAngularRandomHelper,1
19479,cntBarrelRadiatedSingle45,2
19490,hubcapNoMine,1
19516,decoCarTireFlat,1
19576,modularFireWoodStackC,1
19625,emberPileLightPOI1,1
21161,umbrellaTableUpRed,1
21236,chairCampingWhite,1
21440,gurneyBed,1
21454,standIV,1
21455,bodyBagBlack,1
21875,cntClothesPileFloor01,1
22297,coneConstruction,10
22433,concreteHalfDestroyed07Left,2
22434,concreteHalfDestroyed07Right,2
22435,concreteHalfDestroyed08,3
22692,signRoadDestinationsWest,1
22703,signRoadSlow,2
22944,looseBoardsTrapPlate1x1,4
22992,carsRandomHelper,4
22993,carWrecksRandomHelper,1
23021,cars3WideRandomHelper,4
23154,cntFrontCrumpledSedan01RandomHelper,1
23190,cntSUV01RandomHelper,1
23293,cntAmbulanceTruck01,1
23347,cntPoliceCar01AirRandomHelper,1
23432,plantShrubRandomHelper,10
23475,treeStumpPOI,1
23476,treeSmallRandomHelper,5
23477,treeSmallThinRandomHelper,4
23478,treeMediumRandomHelper,7
23479,treeLargeRandomHelper,2
23611,sleeperCrawlerOnly,4
